Timestamp,POA Irradiance,Meter Power,Inverter_1,Inverter_2,Avg_Top_20%,Expected Sum
2023-05-06 15:00:00,398.6746,674.7934,278.9048,411.8056,411.8056,690.7104
2023-05-06 16:00:00,311.131,429.073,176.7319,259.7408,259.7408,436.4727
2023-05-06 17:00:00,240.9031,335.789,136.6924,205.9696,205.9696,342.66200000000003
2023-05-06 18:00:00,207.1739,259.1107,108.3714,159.4654,159.4654,267.8368
2023-05-06 19:00:00,48.41383,40.58904,20.41639,30.15326,,50.569649999999996
2023-05-06 20:00:00,0.7190179,-7.300655,0.0,0.0,,0.0
2023-05-06 21:00:00,0.0,-4.931465,0.0,0.0,,0.0
2023-05-06 22:00:00,0.0,-4.994196,0.0,0.0,,0.0
2023-05-06 23:00:00,0.0,-5.043058,0.0,0.0,,0.0
2023-05-07 00:00:00,0.0,-5.037424,0.0,0.0,,0.0
2023-05-07 01:00:00,0.0,-5.035734,0.0,0.0,,0.0
2023-05-07 02:00:00,0.0,-5.061047,0.0,0.0,,0.0
2023-05-07 03:00:00,0.0,-5.059853,0.0,0.0,,0.0
2023-05-07 04:00:00,0.0,-5.044584,0.0,0.0,,0.0
2023-05-07 05:00:00,0.0,-5.880469,0.0,0.0,,0.0
2023-05-07 06:00:00,10.12893,8.172517,7.271185,10.96692,,18.238105
2023-05-07 07:00:00,98.12297,135.3595,58.38546,85.32021,85.32021,143.70567
2023-05-07 08:00:00,292.5668,469.3658,194.4806,280.8057,280.8057,475.2863
2023-05-07 09:00:00,515.6659,843.6469,347.0885,501.1497,501.1497,848.2382
2023-05-07 10:00:00,717.9133,1138.58,468.7526,675.2135,675.2135,1143.9660999999999
2023-05-07 11:00:00,845.0533,1337.515,551.1987,787.4258,787.4258,1338.6245
2023-05-07 12:00:00,861.783,1198.082,514.952,702.9587,702.9587,1217.9107
2023-05-07 13:00:00,923.696,1278.082,545.3088,729.8285,729.8285,1275.1372999999999
2023-05-07 14:00:00,869.3173,1164.185,489.6428,696.6296,696.6296,1186.2724
2023-05-07 15:00:00,709.9705,1089.268,452.8912,640.4848,640.4848,1093.376
2023-05-07 16:00:00,595.8443,902.3217,370.4406,534.229,534.229,904.6696000000001
2023-05-07 17:00:00,338.4686,516.3677,215.0321,312.14,312.14,527.1721
2023-05-07 18:00:00,172.6403,216.7465,91.41869,134.7069,134.7069,226.12559
