"County Home Solar Center, LLC",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85
2023-05-01 17:00:00,443.7488,8.900292,9.111667,8.561333,9.80996,10.49229,10.21846,10.45329,10.01833,10.76392,10.38367,11.03304,11.08825,11.12829,10.99913,11.35996,11.19537,11.92688,11.82513,12.04038,12.07146,11.52708,12.44104,12.3305,12.57442,12.45263,11.2575,11.24208,11.207,11.05783,11.06908,11.00988,11.13354,11.00979,11.20054,11.17104,9.648959,11.45521,11.5705,11.54983,11.21912,11.22521,11.12979,9.046082,9.284292,9.767166,8.85675,9.933125,8.967583,9.993793,9.32925,10.01092,9.625709,10.06437,9.713501,10.25404,9.669748,11.08479,10.609,11.15979,10.88996,11.366,11.70442,11.63637,11.30592,11.603,11.67242,11.11491,10.91512,11.05208,10.84146,11.11025,10.98542,11.17488,11.19458,,11.11058,11.30012,11.26121,11.26075,11.16704,11.38479,11.53392,11.32117,866.229
2023-05-01 18:00:00,210.8634,3.018875,3.500458,3.226334,3.709167,4.187458,4.037708,4.508708,4.159833,4.737083,4.25825,4.676083,4.532,4.775625,4.56775,5.003334,4.932917,5.541958,5.522083,5.57775,5.549958,5.568417,5.89,5.815833,6.050542,5.955167,5.380333,5.359708,5.351958,5.262417,5.281542,5.264292,5.348125,5.2475,5.380084,5.32825,4.59575,5.427125,5.56575,5.539333,5.371583,5.344583,5.39075,3.909,4.0525,4.326542,3.791333,4.41025,3.921542,4.488375,4.09425,4.489083,4.231167,4.505917,4.282584,4.594375,4.247209,4.971042,4.676083,5.015209,4.840208,4.973709,5.207791,5.221292,4.981584,5.182958,5.2035,5.022792,4.858042,4.998917,4.849917,5.063458,4.984167,5.115292,5.111083,,5.117,5.2265,5.201458,5.245125,5.180333,5.324042,5.423667,5.439333,377.4077
2023-05-01 19:00:00,31.12136,0.5557501,0.6988332,0.5826251,0.6094166,0.7377917,0.6278334,0.7552499,0.6409166,0.7723333,0.6569583,0.7642083,0.6724583,0.7644166,0.6992501,0.7598334,0.7021251,0.84525,0.7677916,0.8852916,0.8602083,0.8059165,0.8705001,0.7887918,0.8966668,0.8324583,0.8147918,0.7676249,0.8237917,0.7601666,0.7895417,0.7644584,0.8146249,0.7467083,0.8124168,0.7732916,0.6524166,0.7280416,0.8155001,0.7569583,0.7926667,0.7819167,0.7976251,0.6209583,0.6487917,0.7336666,0.58075,0.7289584,0.6060833,0.7686249,0.6372918,0.7674999,0.6632916,0.7754999,0.6679583,0.7845833,0.6433751,0.840875,0.7322084,0.8617917,0.80425,0.7566249,0.8496667,0.8616667,0.7522082,0.8256251,0.7922083,0.8185834,0.7254583,0.8136668,0.7122082,0.8125416,0.7534999,0.8310001,0.7806249,,0.7707916,0.7960415,0.7650833,0.8042917,0.7654166,0.8287916,0.8276668,0.8515,52.23815
2023-05-01 20:00:00,0.5195439,0.01094444,0.01938889,0.01211111,0.01383333,0.02044444,0.01288889,0.02416667,0.01533333,0.02383333,0.01327778,0.02,0.01133333,0.02016667,0.01544444,0.025,0.023,0.03966666,0.02858333,0.04416667,0.03783334,0.03416667,0.03775,0.0295,0.04158333,0.03275,0.03133333,0.026,0.03233334,0.0275,0.0265,0.026,0.02122222,0.01594444,0.021,0.02044444,0.01333333,0.01411111,0.022,0.0165,0.02027778,0.02066667,0.01711111,0.021,0.02383333,0.03133333,0.01633333,0.02416666,0.0165,0.03508333,0.02166666,0.0365,0.0235,0.03475,0.02125,0.03433333,0.01633333,0.03858333,0.028,0.03991667,0.03441667,0.0265,0.03675,0.03775,0.0235,0.02983334,0.03041667,0.03283333,0.0225,0.03475,0.0195,0.03333334,0.02725,0.035,0.02766667,,0.02741667,0.02591667,0.025,0.02716666,0.02608334,0.02958333,0.03241667,0.03308333,-3.824717
2023-05-01 21:00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.8
2023-05-01 22:00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.8
2023-05-01 23:00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.8
2023-05-02 00:00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.8
2023-05-02 01:00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.8
2023-05-02 02:00:00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.8
