Penny Hill Monthly
Start date:,10/1/2023 12:00:00 AM
End date:,10/31/2023 12:00:00 AM

Timestamp,POA Sensor,Weather station module temperature,Weather station ambient temperature,Max wind speed - Weather Station 1 (Standard),Production meter L-N voltage,Production meter L-L voltage,Production meter active power,"Schneider XC 680kW Inverter - 1A, Line kW","Schneider XC 680kW Inverter - 1B, Line kW","Schneider XC 680kW Inverter - 1C, Line kW"
,W/m²,°F,°F,mph,V,V,kW,kW,kW,kW
10/1/2023 10:00:00 PM,0,54.71001,60.19408,0,7625,13205.67,-4.033333,0,0,0
10/1/2023 10:15:00 PM,0,54.26331,59.73248,0,7620.667,13199.67,-4.026,0,0,0
10/1/2023 10:30:00 PM,0,53.92348,59.34401,0,7617.667,13192.67,-4.031333,0,0,0
10/1/2023 10:45:00 PM,0,53.34485,58.84013,0,7610.667,13182.67,-4.098333,0,0,0
10/1/2023 11:00:00 PM,0,53.29726,58.52478,0,7608.667,13178.33,-4.080667,0,0,0
10/1/2023 11:15:00 PM,0,53.20458,58.29969,0,7619.333,13194,-4.250333,0,0,0
10/1/2023 11:30:00 PM,0,52.86058,57.99805,0,7610,13182.33,-4.019,0,0,0
10/1/2023 11:45:00 PM,0,53.1144,58.17172,0,7607.333,13177.67,-4.011,0,0,0
10/2/2023 12:00:00 AM,0,53.39328,58.46993,0,7609,13180.33,-4.115,0,0,0
10/2/2023 12:15:00 AM,0,53.88507,58.89725,0,7604,13171,-4.038667,0,0,0
10/2/2023 12:30:00 AM,0,53.52103,58.75786,0,7592,13150.33,-4.216333,0,0,0
10/2/2023 12:45:00 AM,0,52.59423,58.20485,0,7592.667,13151.33,-4.411667,0,0,0
10/2/2023 1:00:00 AM,0,52.16589,57.65185,0,7591.333,13149,-3.995667,0,0,0
10/2/2023 1:15:00 AM,0,51.45283,57.08056,0,7592.333,13148.33,-3.997,0,0,0
10/2/2023 1:30:00 AM,0,51.20317,56.63152,0,7599.667,13162.33,-4.322,0,0,0
10/2/2023 1:45:00 AM,0,51.45951,56.60981,0,7602.333,13166.33,-4.220333,0,0,0
10/2/2023 2:00:00 AM,0,51.16645,56.40872,0,7602.667,13168.33,-4.176333,0,0,0
10/2/2023 2:15:00 AM,0,51.1105,56.29446,0,7607,13177.33,-4.035333,0,0,0
10/2/2023 2:30:00 AM,0,50.85166,56.10708,0,7617.333,13194,-4.033333,0,0,0
10/2/2023 2:45:00 AM,0,50.47092,55.83286,0,7616.667,13190.33,-4.030334,0,0,0
10/2/2023 3:00:00 AM,0,50.53855,55.66033,0,7618,13192.33,-4.030667,0,0,0
10/2/2023 3:15:00 AM,0,50.63874,55.74146,0,7619.667,13197.67,-4.236333,0,0,0
10/2/2023 3:30:00 AM,0,50.24882,55.52094,0,7619.667,13199.33,-4.166,0,0,0
10/2/2023 3:45:00 AM,0,49.73616,55.16103,0,7619.667,13198.33,-4.051,0,0,0
10/2/2023 4:00:00 AM,0,49.73448,54.97707,0,7616.667,13191.67,-4.071,0,0,0
10/2/2023 4:15:00 AM,0,49.76371,54.94965,0,7613.667,13188.67,-4.044,0,0,0
10/2/2023 4:30:00 AM,0,49.72613,54.82054,0,7611.333,13184,-4.085667,0,0,0
10/2/2023 4:45:00 AM,0,49.85138,54.9188,0,7606.667,13175.67,-4.048,0,0,0
10/2/2023 5:00:00 AM,0,49.68355,54.84339,0,7593.667,13154.33,-4.013667,0,0,0
10/2/2023 5:15:00 AM,0,50.34567,55.20444,0,7588,13144,-4.039,0,0,0
10/2/2023 5:30:00 AM,0,52.55748,56.86804,1,7582.333,13133,-4.119333,0,0,0
10/2/2023 5:45:00 AM,0,52.18843,56.89089,0,7575,13120.67,-4.031,0,0,0
10/2/2023 6:00:00 AM,0,51.63652,56.80634,0,7566.333,13104.33,-4.031333,0,0,0
10/2/2023 6:15:00 AM,0,53.87672,58.22428,1,7554.333,13085,-4.025,0,0,0
10/2/2023 6:30:00 AM,0,53.42501,58.19571,1,7541.333,13063.33,-3.959,0,0,0
10/2/2023 6:45:00 AM,0,53.25301,58.14772,0,7564,13101,-5.368,-0.5266666,-0.5666667,-0.5666667
10/2/2023 7:00:00 AM,0.088956,53.65546,58.38538,1,7561.667,13095.67,2.635333,1.913333,2.123333,1.976667
10/2/2023 7:15:00 AM,10.67472,54.81189,58.77843,0,7566.667,13105.67,22.112,8.37,8.756667,8.286667
10/2/2023 7:30:00 AM,72.32123,55.78545,58.91896,0,7582.667,13132,71.96033,21.48333,29.55333,24.39667
10/2/2023 7:45:00 AM,132.9892,59.72646,60.43859,1,7594.667,13154,187.2887,55.94667,69.87334,64.62
10/2/2023 8:00:00 AM,191.6112,62.51189,61.54118,2,7593.667,13154.33,340.5847,105.1367,121.25,115.65
10/2/2023 8:15:00 AM,257.5276,65.64716,62.78545,2,7594,13153,503.6593,154.6933,175.6367,173.49
10/2/2023 8:30:00 AM,321.8428,71.66891,64.18511,2,7593.667,13153,673.5294,220.1167,227.48,225.93
10/2/2023 8:45:00 AM,385.4464,76.76718,65.68417,3,7589.667,13145.67,840.6513,279.51,282.1667,279.4033
10/2/2023 9:00:00 AM,445.8475,82.94589,67.2952,3,7587.667,13142.67,998.829,332.6567,335.23,331.5633
10/2/2023 9:15:00 AM,502.9572,88.19779,69.09019,4,7583.333,13134,1144.018,380.7933,383.9333,379.69
10/2/2023 9:30:00 AM,557.6652,93.2134,70.67838,3,7578.667,13127,1262.443,421.0033,422.9767,420.12
10/2/2023 9:45:00 AM,611.3057,97.91424,72.13403,4,7577.333,13126,1276.343,426.09,421.78,426.7633
10/2/2023 10:00:00 AM,665.5688,101.1539,73.28345,4,7578,13126.67,1229.787,410.9167,403.6133,406.1233
10/2/2023 10:15:00 AM,714.6725,105.8747,74.99847,3,7619.667,13197,1287.842,431.3667,428.3333,429.0667
10/2/2023 10:30:00 AM,757.9941,112.6964,76.88372,4,7617.667,13194,1260.015,424.2767,420.1333,423.51
10/2/2023 10:45:00 AM,796.7789,117.8923,78.52332,3,7603.333,13170.67,1365.594,453.9,450.0133,456.95
10/2/2023 11:00:00 AM,835.4748,118.4677,79.37569,4,7599.333,13163.33,1398.477,467.3633,468.4667,469.07
10/2/2023 11:15:00 AM,869.9897,121.6288,80.70336,4,7596.333,13158.33,1420.492,477.4033,476.99,474.5733
10/2/2023 11:30:00 AM,897.8329,122.5397,81.67226,4,7592.333,13151,1506.175,501.6567,501.3333,503.11
10/2/2023 11:45:00 AM,921.4062,123.7196,82.19099,4,7589.333,13145.33,1576.265,526.39,524.11,526.72
10/2/2023 12:00:00 PM,937.9521,126.075,83.30615,4,7594.333,13153.33,1672.61,561.9366,558.7567,558.7033
10/2/2023 12:15:00 PM,953.1636,123.4908,83.4067,5,7595.667,13157.33,1731.728,580.3134,577.86,578.7633
10/2/2023 12:30:00 PM,962.0592,126.8473,84.56985,5,7591.333,13148,1848.938,619.97,616.77,616.66
10/2/2023 12:45:00 PM,962.6819,127.1746,85.43478,5,7584.667,13138.67,1983.933,668.6533,665.86,665.79
10/2/2023 1:00:00 PM,962.1482,129.5809,86.54193,4,7574.667,13121,2032.13,682.8367,677.9767,681.54
10/2/2023 1:15:00 PM,951.7403,130.274,86.66076,4,7574,13119,2037.247,685.2933,680.7133,682.5
10/2/2023 1:30:00 PM,940.265,128.8461,86.75559,4,7569.333,13110.33,2035.921,685.3666,680.6633,681.2767
10/2/2023 1:45:00 PM,931.6362,127.4651,86.87556,4,7565.333,13104,2027.802,684.6633,679.9267,674.7
10/2/2023 2:00:00 PM,905.0384,126.8181,87.33031,5,7564.333,13101.33,1987.489,670.4167,669.68,659.1833
10/2/2023 2:15:00 PM,879.9528,124.2606,86.7396,4,7560.667,13095,1944.673,652.9366,654.57,646.4567
10/2/2023 2:30:00 PM,841.257,124.4986,87.03324,4,7565.667,13104.33,1871.092,630.3567,628.5333,618.8967
10/2/2023 2:45:00 PM,809.3217,121.9703,86.77045,4,7561,13096,1812.699,609.4167,609.1733,600.17
10/2/2023 3:00:00 PM,765.7333,120.3288,86.55679,4,7557.667,13092.33,1729.087,580.8066,580.3333,572.6934
10/2/2023 3:15:00 PM,717.6081,116.0889,86.07005,4,7556.667,13088.33,1632.891,547.8567,547.8867,540.7267
10/2/2023 3:30:00 PM,671.4399,113.624,85.71814,4,7556.667,13090,1547.535,520.53,517.8967,511.8733
10/2/2023 3:45:00 PM,618.8669,110.9096,85.39021,5,7556.333,13089,1443.119,485.54,482.5167,476.9167
