Timestamp,POA Sensor,Production meter L-N voltage,Production meter active power,"Eaton Power Xpert 1670 1, Real power","Eaton Power Xpert 1670 2, Real power","Eaton Power Xpert 1670 3, Real power"
10/4/2023 6:15:00 PM,68.15247,,,23.19944,49.09835,43.06186
10/4/2023 6:30:00 PM,25.78376,,,1.136593,6.14147,4.145436
10/4/2023 6:45:00 PM,5.316854,,,0,0,0
10/4/2023 7:00:00 PM,1.3695,,,0,0,0
10/4/2023 7:15:00 PM,0,,,0,0,0
10/4/2023 7:30:00 PM,0,,,0,0,0
10/4/2023 7:45:00 PM,0,,,0,0,0
10/4/2023 8:00:00 PM,0,,,0,0,0
10/4/2023 8:15:00 PM,0,,,0,0,0
10/4/2023 8:30:00 PM,0,,,0,0,0
10/4/2023 8:45:00 PM,0,,,0,0,0
10/4/2023 9:00:00 PM,0,,,0,0,0
10/4/2023 9:15:00 PM,0,,,0,0,0
10/4/2023 9:30:00 PM,0,,,0,0,0
10/4/2023 9:45:00 PM,0,,,0,0,0
10/4/2023 10:00:00 PM,0,,,0,0,0
10/4/2023 10:15:00 PM,0,,,0,0,0
10/4/2023 10:30:00 PM,0,,,0,0,0
10/4/2023 10:45:00 PM,0,,,0,0,0
10/4/2023 11:00:00 PM,0,,,0,0,0
10/4/2023 11:15:00 PM,0,,,0,0,0
10/4/2023 11:30:00 PM,0,,,0,0,0
10/4/2023 11:45:00 PM,0,,,0,0,0
10/5/2023 12:00:00 AM,0,,,0,0,0
10/5/2023 12:15:00 AM,0,,,0,0,0
10/5/2023 12:30:00 AM,0,,,0,0,0
10/5/2023 12:45:00 AM,0,,,0,0,0
10/5/2023 1:00:00 AM,0,,,0,0,0
10/5/2023 1:15:00 AM,0,,,0,0,0
10/5/2023 1:30:00 AM,0,,,0,0,0
10/5/2023 1:45:00 AM,0,,,0,0,0
10/5/2023 2:00:00 AM,0,,,0,0,0
10/5/2023 2:15:00 AM,0,,,0,0,0
10/5/2023 2:30:00 AM,0,,,0,0,0
10/5/2023 2:45:00 AM,0,,,0,0,0
10/5/2023 3:00:00 AM,0,,,0,0,0
10/5/2023 3:15:00 AM,0,,,0,0,0
10/5/2023 3:30:00 AM,0,,,0,0,0
10/5/2023 3:45:00 AM,0,,,0,0,0
10/5/2023 4:00:00 AM,0,,,0,0,0
10/5/2023 4:15:00 AM,0,,,0,0,0
10/5/2023 4:30:00 AM,0,,,0,0,0
10/5/2023 4:45:00 AM,0,,,0,0,0
10/5/2023 5:00:00 AM,0,,,0,0,0
10/5/2023 5:15:00 AM,0,,,0,0,0
10/5/2023 5:30:00 AM,0,,,0,0,0
10/5/2023 5:45:00 AM,0,,,0,0,0
10/5/2023 6:00:00 AM,0,,,0,0,0
10/5/2023 6:15:00 AM,0,,,0,0,0
10/5/2023 6:30:00 AM,0,,,0,0,0
10/5/2023 6:45:00 AM,0,,,0,0,0
10/5/2023 7:00:00 AM,0.04961111,,,0,0,0
10/5/2023 7:15:00 AM,3.910236,,,2.868264,4.289151,3.864194
10/5/2023 7:30:00 AM,23.21788,,,48.6712,45.08766,24.19158
10/5/2023 7:45:00 AM,63.96091,,,133.602,112.1123,141.18
10/5/2023 8:00:00 AM,88.93316,,,161.9943,164.1326,191.395
10/5/2023 8:15:00 AM,95.20309,,,162.931,180.1151,190.9241
10/5/2023 8:30:00 AM,115.1545,,,230.8655,239.4717,244.4385
10/5/2023 8:45:00 AM,178.6103,,,480.8401,418.581,366.2793
10/5/2023 9:00:00 AM,278.3622,,,584.9544,573.2632,573.6207
10/5/2023 9:15:00 AM,376.2371,,,708.0647,701.9146,753.3536
10/5/2023 9:30:00 AM,427.8568,,,786.186,804.3953,853.0352
10/5/2023 9:45:00 AM,482.9056,,,859.3104,888.7737,914.7217
10/5/2023 10:00:00 AM,534.3658,,,930.0941,980.6965,999.2037
10/5/2023 10:15:00 AM,583.1178,,,1007.184,1063.191,1076.891
10/5/2023 10:30:00 AM,623.6141,,,1048.299,1122.831,1140.895
10/5/2023 10:45:00 AM,667.244,,,1121.227,1201.067,1213.853
10/5/2023 11:00:00 AM,653.6592,,,1072.361,1016.226,1136.41
10/5/2023 11:15:00 AM,774.7753,,,1231.583,1351.817,1355.928
10/5/2023 11:30:00 AM,757.9264,,,1063.301,1226.162,1263.675
10/5/2023 11:45:00 AM,555.1201,,,1049.879,973.4504,912.9508
10/5/2023 12:00:00 PM,376.1213,,,948.8486,699.1938,575.9849
