Briarwood Monthly
Start date:,9/1/2023 12:00:00 AM
End date:,9/30/2023 12:00:00 AM

Timestamp,POA Sensor,Weather station module temperature,Weather station ambient temperature,Max wind speed - Weather Station (Standard),Production meter L-N voltage,Production meter active power,"SunGrow SG125HV Inverter - 1, Line kW","SunGrow SG125HV Inverter - 2, Line kW","SunGrow SG125HV Inverter - 3, Line kW","SunGrow SG125HV Inverter - 4, Line kW","SunGrow SG125HV Inverter - 5, Line kW","SunGrow SG125HV Inverter - 6, Line kW","SunGrow SG125HV Inverter - 7, Line kW","SunGrow SG125HV Inverter - 8, Line kW","SunGrow SG125HV Inverter - 9, Line kW","SunGrow SG125HV Inverter - 10, Line kW","SunGrow SG125HV Inverter - 11, Line kW","SunGrow SG125HV Inverter - 12, Line kW","SunGrow SG125HV Inverter - 13, Line kW","SunGrow SG125HV Inverter - 14, Line kW","SunGrow SG125HV Inverter - 15, Line kW","SunGrow SG125HV Inverter - 16, Line kW"
9/1/2023 9:45:00 AM,919.0972,43.63485,78.4648,3,7.531112,1763.098,113.7203,99.30649,125.9687,111.6864,124.6445,111.3507,104.6683,0,125.4568,125.9745,126.0068,125.973,125.9737,125.9855,125.6444,101.52
9/1/2023 10:00:00 AM,933.2426,42.70145,79.21926,3,7.549414,1772.953,115.3388,100.8093,125.9979,113.3217,125.941,113.1441,106.3192,0,125.9885,126.0065,125.9996,125.973,125.9826,125.987,125.9736,103.006
9/1/2023 10:15:00 AM,940.8278,43.5928,80.20276,3,7.566145,1766.684,115.4329,100.9815,125.9922,113.6648,125.9726,113.3078,106.2671,0,117.6829,125.9856,125.9923,125.9822,125.984,125.9882,125.978,103.1253
9/1/2023 10:30:00 AM,947.9838,43.78245,81.07425,3,7.555803,1776.959,115.8077,101.3703,125.978,114.2448,125.9691,113.7279,106.9394,0,125.9837,125.9886,125.9953,125.9961,125.9922,125.9844,125.9889,103.6433
9/1/2023 10:45:00 AM,955.4677,43.3373,81.80694,5,7.541375,1782.853,117.1189,102.4966,125.9803,115.3933,125.9691,114.8775,107.8248,0,125.9872,125.99,125.9954,125.9937,125.9896,125.9872,125.9857,104.7916
9/1/2023 11:00:00 AM,955.0833,42.9199,82.56549,4,7.554576,1781.758,116.5811,102.0535,125.9885,115.0458,125.9915,114.5773,107.6412,0,125.9991,125.9944,125.992,125.9864,125.972,126.0015,125.9865,105.9862
9/1/2023 11:15:00 AM,957.2887,43.41125,82.8279,3,7.549623,1783.248,116.5895,102.1046,125.9848,115.0413,125.9884,114.3674,107.4137,0,125.9919,125.9952,125.992,125.9956,125.9766,126.002,125.9887,107.688
9/1/2023 11:30:00 AM,955.7084,43.7199,83.43453,3,7.539562,1782.031,115.7458,101.4348,125.984,114.4525,125.981,113.9769,106.9527,0,125.9733,125.995,125.992,126.003,125.984,125.9993,125.983,109.0484
9/1/2023 11:45:00 AM,957.3669,44.76685,83.65594,3,7.535319,1782.267,115.4228,101.2119,125.984,114.1949,125.981,113.7167,106.6387,0,125.972,125.995,125.992,126.003,125.984,125.998,125.983,110.5183
9/1/2023 12:00:00 PM,954.1201,44.36805,83.6654,4,7.542008,1783.506,115.3507,101.4034,125.989,114.3452,125.981,113.7488,106.4969,0,125.9814,125.995,125.9905,126.003,125.984,125.9987,125.983,111.855
