Nitro,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
Timestamp,POA,"AE 1000NX A, AC Power","AE 1000NX B, AC Power","AE 1000NX C, AC Power","AE 1000NX D, AC Power","AE 1000NX E, AC Power",Production meter active power
,W/m²,kW,kW,kW,kW,kW,kW
2023-03-05 13:00:00,938.2824,988.2961,973.9438,983.9249,960.0479,928.7085,
2023-03-05 14:00:00,807.0827,881.9657,863.4364,873.2496,851.6727,822.816,
2023-03-05 15:00:00,609.1997,686.5972,672.0389,678.2838,664.2896,635.8625,
2023-03-05 16:00:00,372.4695,405.1892,413.9916,401.7647,408.9804,367.8722,
2023-03-05 17:00:00,128.9971,101.018,121.1796,107.2304,121.422,103.6463,
2023-03-05 18:00:00,3.010421,1.554114,1.595754,1.488115,1.763585,1.433115,
2023-03-05 19:00:00,0,0,0,0,0,0,
2023-03-05 20:00:00,0,0,0,0,0,0,
2023-03-05 21:00:00,0,0,0,0,0,0,
2023-03-05 22:00:00,0,0,0,0,0,0,
2023-03-05 23:00:00,0,0,0,0,0,0,
2023-03-06 00:00:00,0,0,0,0,0,0,
2023-03-06 01:00:00,0,0,0,0,0,0,
2023-03-06 02:00:00,0,0,0,0,0,0,
2023-03-06 03:00:00,0,0,0,0,0,0,
2023-03-06 04:00:00,0,0,0,0,0,0,
2023-03-06 05:00:00,0,0,0,0,0,0,
2023-03-06 06:00:00,4.179472,6.811706,5.886703,7.022509,5.319342,6.132674,
2023-03-06 07:00:00,154.2085,171.3767,158.5465,176.1329,156.504,159.3285,
2023-03-06 08:00:00,406.3763,471.8748,455.6628,474.6081,455.497,442.9838,
2023-03-06 09:00:00,642.7141,723.9058,714.9343,724.4667,700.6987,679.0635,
2023-03-06 10:00:00,829.105,886.8521,872.7683,886.3147,856.726,832.0927,
2023-03-06 11:00:00,939.5692,978.2247,965.0078,974.3294,947.6848,918.8909,
2023-03-06 12:00:00,971.7408,996.5944,985.0434,996.8947,970.8185,940.1615,
2023-03-06 13:00:00,899.8904,919.5993,907.12,912.6508,889.4348,859.6723,
2023-03-06 14:00:00,745.2714,797.3585,786.0002,794.8721,771.6279,754.1106,
2023-03-06 15:00:00,480.9279,524.2462,515.2003,517.5413,507.3307,483.7764,
2023-03-06 16:00:00,194.109,215.0314,214.8015,212.0935,209.9233,196.3652,
2023-03-06 17:00:00,60.21187,56.66596,57.61926,56.8404,56.68718,53.84215,
2023-03-06 18:00:00,4.249361,1.906267,1.989256,1.97716,1.947854,1.811188,
2023-03-06 19:00:00,0,0,0,0,0,0,
2023-03-06 20:00:00,0,0,0,0,0,0,
2023-03-06 21:00:00,0,0,0,0,0,0,
2023-03-06 22:00:00,0,0,0,0,0,0,
2023-03-06 23:00:00,0,0,0,0,0,0,
2023-03-07 00:00:00,0,0,0,0,0,0,
2023-03-07 01:00:00,0,0,0,0,0,0,
2023-03-07 02:00:00,0,0,0,0,0,0,
2023-03-07 03:00:00,0,0,0,0,0,0,
2023-03-07 04:00:00,0,0,0,0,0,0,
2023-03-07 05:00:00,0,0,0,0,0,0,
2023-03-07 06:00:00,4.042595,5.34455,4.839015,5.402404,4.710225,4.835849,
2023-03-07 07:00:00,138.4315,143.7894,133.8067,145.886,132.8819,133.8288,
2023-03-07 08:00:00,374.353,416.3673,404.0714,416.9815,401.2986,391.0646,
2023-03-07 09:00:00,612.9182,683.679,676.4562,681.3834,660.366,641.607,
2023-03-07 10:00:00,792.5224,874.8718,862.3832,872.0791,847.3953,818.5121,
2023-03-07 11:00:00,936.7704,982.4766,974.9138,981.0609,968.5943,935.6507,
2023-03-07 12:00:00,981.5429,998.3254,972.9501,995.858,989.2744,978.5314,
2023-03-07 13:00:00,941.3374,996.4537,990.7639,993.3481,984.3502,950.983,
2023-03-07 14:00:00,798.2866,885.0756,868.1223,874.1526,855.7066,825.8881,
2023-03-07 15:00:00,614.1886,694.3439,680.8289,683.9752,673.2386,641.5369,
2023-03-07 16:00:00,379.5544,414.1373,423.658,410.9691,419.2635,375.2611,
2023-03-07 17:00:00,133.6909,105.1355,125.286,111.7483,125.0229,107.3637,
2023-03-07 18:00:00,3.644987,1.730997,1.869619,1.595851,1.899063,1.48599,
2023-03-07 19:00:00,0.01102778,0,0,0,0,0,
2023-03-07 20:00:00,0,0,0,0,0,0,
2023-03-07 21:00:00,0,0,0,0,0,0,
2023-03-07 22:00:00,0,0,0,0,0,0,
2023-03-07 23:00:00,0,0,0,0,0,0,
2023-03-08 00:00:00,0,0,0,0,0,0,
2023-03-08 01:00:00,0,0,0,0,0,0,
2023-03-08 02:00:00,0,0,0,0,0,0,
2023-03-08 03:00:00,0,0,0,0,0,0,
2023-03-08 04:00:00,0,0,0,0,0,0,
2023-03-08 05:00:00,0,0,0,0,0,0,
2023-03-08 06:00:00,6.42714,7.40387,6.309425,8.128102,5.790484,6.796038,
