Dairy Solar,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
Timestamp,POA*,"TMEIC 2.5MW Inverter 1.1.1, Active Power P","TMEIC 2.5MW Inverter 1.2.1, Active Power P","TMEIC 2.5MW Inverter 1.3.1, Active Power P","TMEIC 2.5MW Inverter 1.4.1, Active Power P"
,W/m²,kW,kW,kW,kW
2022-09-08 13:00:00,818.3809,2116.432,2210.745,2256.904,2193.818
2022-09-08 14:00:00,852.2772,2197.677,2297.263,2352.402,2288.165
2022-09-08 15:00:00,905.4595,2355.645,2477.237,2547.727,2486.854
2022-09-08 16:00:00,867.796,2319.142,2433.513,2507.918,2451.406
2022-09-08 17:00:00,738.0883,2110.227,2213.193,2288.77,2234.25
2022-09-08 18:00:00,351.3375,966.4683,1009.763,1043.485,1008.73
2022-09-08 19:00:00,7.381304,8.711667,9.326668,11.16833,10.92667
2022-09-08 20:00:00,-0.4883278,0,0,0,0
2022-09-08 21:00:00,-0.5974395,0,0,0,0
2022-09-08 22:00:00,-0.4162267,0,0,0,0
2022-09-08 23:00:00,-0.4824092,0,0,0,0
2022-09-09 00:00:00,-0.1573408,0,0,0,0
2022-09-09 01:00:00,-0.34184,0,0,0,0
2022-09-09 02:00:00,-0.3067504,0,0,0,0
2022-09-09 03:00:00,-0.2890522,0,0,0,0
2022-09-09 04:00:00,-0.3121322,0,0,0,0
2022-09-09 05:00:00,-0.3387018,0,0,0,0
2022-09-09 06:00:00,5.368501,1.581667,2.75,3.838332,3.96
2022-09-09 07:00:00,383.8847,985.5066,1049.905,1073.67,1049.193
2022-09-09 08:00:00,804.2329,2296.005,2390.783,2451.168,2398.723
2022-09-09 09:00:00,892.0358,2496.412,2544.683,2547.402,2544.582
2022-09-09 10:00:00,922.5867,2465.375,2554.827,2572.983,2563.277
2022-09-09 11:00:00,898.3986,2372.135,2488.751,2547.322,2493.427
2022-09-09 12:00:00,877.1945,2261.518,2369.874,2433.638,2392.523
2022-09-09 13:00:00,870.2803,2246.337,2350.336,2408.425,2354.4
2022-09-09 14:00:00,894.5963,2284.733,2398.769,2467.322,2415.15
2022-09-09 15:00:00,914.5385,2388.3,2506.905,2577.81,2518.428
2022-09-09 16:00:00,882.8201,2349.492,2466.993,2542.107,2486.898
2022-09-09 17:00:00,732.884,2071.642,2178.877,2253.222,2202.5
2022-09-09 18:00:00,327.2259,886.7599,929.3351,956.8501,926.5833
2022-09-09 19:00:00,5.464541,5.43,6.305,8.186667,7.838333
2022-09-09 20:00:00,-0.2878074,0,0,0,0
2022-09-09 21:00:00,-0.2603726,0,0,0,0
2022-09-09 22:00:00,-0.3162298,0,0,0,0
