Timestamp,POA Irradiance,Temperature,Wind Speed,Meter Voltage,Meter Power,"SMA Inverter - A.1, Pac","SMA Inverter - A.2, Pac","SMA Inverter - B.1, Pac","SMA Inverter - B.2, Pac","SMA Inverter - C.1, Pac","SMA Inverter - C.2, Pac","SMA Inverter - D.1, Pac","SMA Inverter - D.2, Pac","SMA Inverter - E.1, Pac","SMA Inverter - E.2, Pac",Day/Night
2023-10-02 04:00:00,-999.0,-999.0,-999.0,13.65426,-7.835682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-02 04:15:00,-999.0,-999.0,-999.0,13.64108,-7.818925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-02 04:30:00,-999.0,-999.0,-999.0,13.6328,-7.79439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-02 04:45:00,-999.0,-999.0,-999.0,13.62333,-7.757462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-02 05:00:00,-999.0,-999.0,-999.0,13.60204,-7.707478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-02 05:15:00,-999.0,-999.0,-999.0,13.57828,-7.667308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-02 05:30:00,-999.0,-999.0,-999.0,13.56604,-7.636762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-02 05:45:00,-999.0,-999.0,-999.0,13.55811,-7.608937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-02 06:00:00,-999.0,-999.0,-999.0,13.53513,-7.569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-02 06:15:00,-999.0,-999.0,-999.0,13.5291,-7.55325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-02 06:30:00,-999.0,-999.0,-999.0,13.58782,-7.669727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-02 06:45:00,-999.0,-999.0,-999.0,13.59569,-7.945279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-02 07:00:00,-999.0,-999.0,-999.0,13.57757,-8.063099,0.0,0.2456522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Night
2023-10-02 07:15:00,-999.0,-999.0,-999.0,13.58943,6.610908,0.0,0.9446563,0.001221184,1.725333,,,2.632348,1.223151,,0.0,Day
2023-10-02 07:30:00,-999.0,-999.0,-999.0,13.61518,67.56547,9.213379,12.19854,5.738515,5.588031,1.0,1.0,3.763152,6.691831,,12.12834,Day
