Site Name,WO#,Fault/Event Start,Fault End,Date When Marked Complete/Incomplete,Description
L'Oreal-Kentucky,28592,"Oct 18, 2023 08:57:00 AM",,,Two Sungrow inverters are off-line with islanding faults.
L'Oreal-Kentucky,28591,"Oct 18, 2023 08:58:00 AM",,,PM Inspection of Loreal Facility PV system
Adams,28593,"Oct 18, 2023 09:08:00 AM",,,Adams Inv 06 - Return defective inverter
West Newberry,28594,"Oct 18, 2023 09:14:00 AM",,,West Newberry - Inv 26 - Return defective unit to CPS. 
NC 102,28597,"Oct 18, 2023 11:30:00 AM","Oct 26, 2023 04:00:00 PM","Oct 26, 2023 04:00:00 PM",Inverter and Transformer thermal Imaging 
Beulaville,28303,"Oct 19, 2023 08:00:00 AM","Oct 19, 2023 12:42:00 PM","Oct 19, 2023 12:45:00 PM",Mow array and spot spray as needed
Rose Acre Solar Energy Storage,28559,"Oct 19, 2023 08:00:00 AM","Oct 19, 2023 10:00:00 AM",,Rose Acre Solar Energy Storage - NCEMC Annual Inspection
Walgreens - Milwaukie,27334,"Oct 19, 2023 02:18:00 PM",,,"Walgreens - Milwaukie - Omnidian Annual Inspection

Reference SiteCapture to fill out tasks and complete the assigned Scope of Work. IVCT is NOT included, do not complete these tasks.

Download a copy of the completed report from SiteCapture and upload it to the Files tab once complete."
Walgreens - Lake Oswego,27333,"Oct 19, 2023 02:19:00 PM",,,"Walgreens - Lake Oswego - Omnidian Annual Inspection

Reference SiteCapture to fill out tasks and complete the assigned Scope of Work. IVCT is NOT included, do not complete these tasks.

 Download a copy of the completed report from SiteCapture and upload it to the Files tab once complete."
Walgreens - Newberg,27437,"Oct 19, 2023 02:23:00 PM",,,"Walgreens - Newberg- Omnidian Annual Inspection

Reference SiteCapture to fill out tasks and complete the assigned Scope of Work. IVCT is NOT included, do not complete these tasks.

Download a copy of the completed report from SiteCapture and upload it to the Files tab once complete."
Chiloquin,28612,"Oct 19, 2023 02:24:00 PM",,,INV 7.09 - Offline (RMA)
Chiloquin,28613,"Oct 19, 2023 02:30:00 PM",,,INV 7.07 - Underperforming ~ 20%
Pamlico,28849,"Oct 19, 2023 03:00:00 PM",,,CB 1.8 - Underperforming ~20%
Owen,28457,"Oct 20, 2023 09:43:00 AM","Oct 20, 2023 11:11:00 AM",,"Mow array and buffer, spot spray as needed"
Augusta,28621,"Oct 20, 2023 11:32:00 AM","Oct 23, 2023 04:25:00 PM",,Update firmware on all site inverters. 
Briarwood,28622,"Oct 20, 2023 11:36:00 AM","Oct 23, 2023 03:00:00 PM",,Update firmware on all site inverters. 
Gold Mine,28623,"Oct 20, 2023 11:40:00 AM","Oct 23, 2023 12:20:00 PM",,Update firmware on all site inverters. 
Beaufort,28624,"Oct 20, 2023 12:00:00 PM",,,"UAV Follow Up @ Beaufort: 5 String Anomalies, 2 Damaged Modules, 3 Failed Modules"
,28625,"Oct 20, 2023 12:45:00 PM",,,Damage to front bumper wind deflector 
"Kaiser Creek Solar, LLC",28626,"Oct 20, 2023 01:02:00 PM",,,Split of Kaiser INV 1 Troubleshooting WO 28626
Ridgeback,28627,"Oct 20, 2023 01:21:00 PM","Oct 20, 2023 01:50:00 PM",,Site offline
Cottonwood,28628,"Oct 20, 2023 02:15:00 PM","Oct 20, 2023 03:07:00 PM",,Cottonwood - Site - Offline (transfer trip)
Minke,28512,"Oct 20, 2023 02:24:00 PM",,,"Inspection ""Hot Spots present"": •Thermal Image Inverter terminations, fuses, and OCPD(s) with IR camera - torque any connections found loose or hot as necessary. Only thermal image devices that can be protected with PPE Follow on work order for ""WO 27877"" (triggered by SM1474) for MINK-INV01 by rulloa.
Technician notes: B phase hot 127 "
Minke,28514,"Oct 20, 2023 02:26:00 PM",,,"Inspection ""Hot Spots present"": •Thermal Image Inverter terminations, fuses, and OCPD(s) with IR camera - torque any connections found loose or hot as necessary. Only thermal image devices that can be protected with PPE Follow on work order for ""WO 27877"" (triggered by SM1474) for MINK-INV02 by rulloa.
Technician notes: B and c phase 90 "
Minke,28515,"Oct 20, 2023 02:48:00 PM",,,"Inspection ""Hot Spots present"": •Thermal Image Inverter terminations, fuses, and OCPD(s) with IR camera - torque any connections found loose or hot as necessary. Only thermal image devices that can be protected with PPE Follow on work order for ""WO 27877"" (triggered by SM1474) for MINK-INV03 by rulloa.
Technician notes: A phase 128"
Minke,28516,"Oct 20, 2023 02:49:00 PM",,,"Inspection ""Hot Spots present"": •Thermal Image Inverter terminations, fuses, and OCPD(s) with IR camera - torque any connections found loose or hot as necessary. Only thermal image devices that can be protected with PPE Follow on work order for ""WO 27877"" (triggered by SM1474) for MINK-INV04 by rulloa.
Technician notes: A phase 130 degree "
,28629,"Oct 20, 2023 02:59:00 PM","Oct 23, 2023 01:50:00 PM","Oct 24, 2023 07:50:00 AM",LEM HAX2000-S CTS'-ORDER
"Sandy River Solar, LLC",28364,"Oct 20, 2023 03:00:00 PM",,,Sandy River - hep Petra Annual Inspection
Fort Rock Solar IV,28631,"Oct 20, 2023 04:10:00 PM","Oct 25, 2023 05:30:00 PM",,INV 6 offline with Hardware Fault
Augusta,28630,"Oct 20, 2023 05:03:00 PM","Oct 20, 2023 05:20:00 PM",,Augusta offline
Cottonwood,28632,"Oct 21, 2023 03:23:00 AM","Oct 21, 2023 08:40:00 AM",,Site offline due to transfer trip
Adams,28669,"Oct 21, 2023 12:00:00 PM","Oct 25, 2023 11:48:00 AM",,Trackers stalled and not communicating
Wingo Park,28657,"Oct 21, 2023 01:40:00 PM",,,INV 07 (roof) - Offline (8210 - Electric arc detected in 2nd string group)
Agate Bay,28647,"Oct 22, 2023 12:30:00 PM","Oct 22, 2023 06:15:00 PM",,Site offline due to utility trip and reclose
