Brush Creek Monthly
Start date:,9/1/2023 12:00:00 AM
End date:,9/30/2023 12:00:00 AM

Timestamp,POA Sensor,Weather station module temperature,Weather station ambient temperature,Max wind speed - Weather Station 1 (Standard without POA),Production meter L-L voltage,Production meter active power,"Inverter - 1 CPS SCH125KTL, Active Power","Inverter - 2 CPS SCH125KTL, Active Power","Inverter - 3 CPS SCH125KTL, Active Power","Inverter - 4 CPS SCH125KTL, Active Power","Inverter - 5 CPS SCH125KTL, Active Power","Inverter - 6 CPS SCH125KTL, Active Power","Inverter - 7 CPS SCH125KTL, Active Power","Inverter - 8 CPS SCH125KTL, Active Power","Inverter - 9 CPS SCH125KTL, Active Power","Inverter - 10 CPS SCH125KTL, Active Power","Inverter - 11 CPS SCH125KTL, Active Power","Inverter - 12 CPS SCH125KTL, Active Power","Inverter - 13 CPS SCH100KTL, Active Power","Inverter - 14 CPS SCH100KTL, Active Power","Inverter - 15 CPS SCH125KTL, Active Power","Inverter - 16 CPS SCH125KTL, Active Power","Inverter - 17 CPS SCH125KTL, Active Power","Inverter - 18 CPS SCH125KTL, Active Power"
9/1/2023 9:30:00 AM,53.97824,64.25737,63.23503,4,12.61056,127.3628,7.467546,7.906747,7.884426,7.874029,7.613904,7.094118,7.62746,6.790174,7.484842,7.61174,7.537391,7.28142,5.722394,6.132598,7.185765,7.37494,6.548669,5.519191
9/1/2023 9:45:00 AM,50.51231,64.31323,63.33149,5,12.59522,117.1607,6.791631,7.058445,7.28536,7.249293,6.952604,6.741389,6.977484,6.299933,6.847882,6.939724,7.033878,6.881382,5.415,5.630291,6.564471,6.759569,6.143004,5.222327
9/1/2023 10:00:00 AM,56.00783,64.19495,63.26492,6,12.57457,129.1883,7.396209,7.64579,7.909322,7.841671,7.485996,7.392222,7.545244,6.865087,7.60032,7.707498,7.789622,7.679611,6.048222,6.224622,7.258209,7.488484,6.851773,5.850909
9/1/2023 10:15:00 AM,82.7236,65.30077,63.61688,5,12.58898,193.0794,10.79137,11.1098,11.58555,11.4397,10.92894,11.01428,11.03056,10.18498,11.37481,11.6267,11.64045,11.57033,9.107833,9.240202,10.76271,11.2009,10.2886,9.031413
9/1/2023 10:30:00 AM,135.6958,66.35371,63.98655,5,12.64164,308.3739,17.38256,17.18743,18.59164,18.09136,16.96127,18.16111,16.87546,16.11151,17.9479,18.2296,18.3991,18.87568,14.70178,14.27067,16.3776,17.1023,16.20449,14.40263
9/1/2023 10:45:00 AM,372.7225,72.95361,65.61385,6,12.71653,781.998,45.38428,42.52067,48.13216,45.42552,40.92328,46.60983,37.01751,40.40497,48.45275,48.72034,50.48048,51.97193,40.476,35.52463,40.79319,42.30595,41.9046,38.7187
9/1/2023 11:00:00 AM,638.1578,83.25777,68.09319,7,12.7501,1216.893,77.54884,65.57532,83.75543,74.62711,64.05677,82.18097,57.84405,62.99049,75.37248,74.85319,78.31185,85.91714,66.15197,52.96165,59.12923,60.11091,65.35419,61.35064
9/1/2023 11:15:00 AM,252.4469,80.46832,68.1807,5,12.69393,538.7589,32.42102,29.93717,34.39307,32.30771,29.31399,35.12201,29.22437,29.11441,31.87625,31.74002,32.45162,34.44675,26.86948,24.3356,27.78368,29.08242,29.27156,26.37724
9/1/2023 11:30:00 AM,317.5513,76.62802,68.34289,5,12.70149,702.9871,40.98735,38.16314,43.24185,40.62962,37.19509,43.6763,37.99557,38.09778,41.67661,41.69425,42.04045,44.43768,34.58415,31.8859,36.38074,38.36799,38.29955,34.96352
9/1/2023 11:45:00 AM,529.188,82.83983,69.80331,7,12.75575,1037.462,62.05576,55.21254,65.28571,61.00222,54.10976,66.62534,52.43056,56.23321,59.99597,61.75565,62.03424,66.13696,50.58414,44.45633,50.4951,53.20264,55.84989,54.03672
9/1/2023 12:00:00 PM,651.7744,85.91933,71.25802,6,12.78443,1310.339,74.66411,68.92539,83.13729,77.38186,68.53739,82.33155,67.29606,73.60071,74.62016,76.08042,79.16994,82.06589,62.91568,56.43,64.78867,67.81693,71.47141,72.48856
