Site Name,WO#,Fault/Event Start,Fault End,Date When Marked Complete/Incomplete,Description
NC Solar II,27044,"Aug 02, 2023 07:00:00 AM","Aug 02, 2023 11:10:00 AM","Aug 02, 2023 11:39:00 AM",Mow array and spot spray as needed
Pamlico,27070,"Aug 02, 2023 07:00:00 AM","Aug 09, 2023 10:05:00 AM","Aug 11, 2023 10:05:00 AM",Pamlico - Soltage Tri-Annual Inspection
Penny Hill,27131,"Aug 02, 2023 07:00:00 AM","Aug 02, 2023 12:37:00 PM","Aug 03, 2023 04:02:00 PM",Mow array and spot spray as needed
Briarwood,27256,"Aug 02, 2023 10:15:00 AM","Aug 04, 2023 09:14:00 AM",,Briarwood - INV 14 - Offline (Islanding)
Cottonwood,27254,"Aug 02, 2023 10:22:00 AM","Aug 18, 2023 02:55:00 PM","Aug 21, 2023 08:00:00 AM",CB 4.2 offline
Owen,27255,"Aug 02, 2023 11:30:00 AM",,,Remove modem from site
NC Solar I,27072,"Aug 02, 2023 11:37:00 AM","Aug 03, 2023 02:00:00 PM","Aug 03, 2023 03:58:00 PM",Mow array and spot spray as needed
Agate Bay,27403,"Aug 02, 2023 12:12:00 PM",,,ET Solar Module warranty
Audrey,27264,"Aug 02, 2023 03:30:00 PM","Aug 03, 2023 10:34:00 AM",,Site offline with utility recloser open
Prineville Pond,27262,"Aug 02, 2023 03:41:00 PM","Aug 08, 2023 02:30:00 PM",,Prineville Pond PVsyst update
Albertson,27278,"Aug 02, 2023 10:15:00 PM","Aug 03, 2023 02:00:00 PM","Aug 04, 2023 07:33:00 AM",Change out broken modules
Montgomery Park - American Can Building,27273,"Aug 03, 2023 07:00:00 AM","Aug 03, 2023 05:22:00 PM",,Inverters Offline
Sarah,27288,"Aug 03, 2023 08:00:00 AM","Aug 04, 2023 02:00:00 PM",,Sarah - DAS - No Comms
Cottonwood,27274,"Aug 03, 2023 09:14:00 AM","Aug 03, 2023 09:56:00 AM",,Site offline due to transfer trip
,27275,"Aug 03, 2023 11:00:00 AM",,"Aug 08, 2023 03:09:00 PM",Order additional ABB 1500 inverter keys
,27277,"Aug 03, 2023 11:00:00 AM",,"Aug 16, 2023 08:50:00 AM",Repair Stihl weed eater HL 94 (Fly Wheel)
,27276,"Aug 03, 2023 11:02:00 AM",,"Aug 16, 2023 08:50:00 AM","Repair Stihl weed eater FS 111R (carburetor)
"
,27204,"Aug 03, 2023 02:00:00 PM","Aug 05, 2023 09:34:00 AM",,NCEMC Project Engineering
Tumbleweed,27282,"Aug 03, 2023 02:00:00 PM","Aug 03, 2023 05:24:00 PM",,Inverter Offline
Tumbleweed,27283,"Aug 03, 2023 02:00:00 PM",,,Inverter Offline
Chiloquin,27265,"Aug 03, 2023 03:05:00 PM","Aug 03, 2023 02:18:00 PM",,Chiloquin - INV 10.03 - Offline (Islanding)
Briarwood,27281,"Aug 03, 2023 03:15:00 PM","Aug 04, 2023 09:36:00 AM",,Briarwood - INV 10 - Offline (Grid Voltage Unbalance)
County Home,27292,"Aug 03, 2023 04:15:00 PM","Aug 04, 2023 12:15:00 PM",,"INVs 1.2, 1.7, 2.7, 5.1, 5.4, 5.10, 6.2, 6.10, 7.4, 8.10 offline with 'Overcurrent single input' alerts"
Pamlico,27279,"Aug 03, 2023 04:22:00 PM",,,meter is frequently losing communication
Starvation Ridge Collector Station,27284,"Aug 03, 2023 06:30:00 PM","Aug 03, 2023 11:30:00 PM",,Starvation Ridge offline due to grid switching activity
Starvation Solar I,27285,"Aug 03, 2023 06:30:00 PM","Aug 03, 2023 11:30:00 PM",,Starvation offline due to switching activity by Idaho power for fire mitigation 
Starvation Ridge Collector Station,27290,"Aug 04, 2023 06:00:00 AM","Aug 08, 2023 02:24:00 PM",,Starvation Ridge Collector Station - No Comms/Remote Control
Starvation Solar I,27291,"Aug 04, 2023 06:00:00 AM","Aug 04, 2023 04:45:00 PM",,Starvation Solar - Site - No Comms
Beaufort,27210,"Aug 04, 2023 08:00:00 AM","Aug 04, 2023 12:20:00 PM","Aug 04, 2023 01:42:00 PM",Beaufort - Capital Power Operator Rounds 
,27287,"Aug 04, 2023 08:00:00 AM",,"Aug 07, 2023 08:03:00 AM",Fayetteville PO Box
Tiburon,27294,"Aug 04, 2023 08:15:00 AM","Aug 07, 2023 10:00:00 AM",,Tiburon - INV A2-062 - Offline (Abnormal Resid. Cur. Alarm ID 318)
Davis Lane,27166,"Aug 04, 2023 09:00:00 AM","Aug 04, 2023 01:44:00 PM","Aug 04, 2023 01:45:00 PM",Mow array and spot spray as needed
Chiloquin,27537,"Aug 04, 2023 09:00:00 AM",,,"INVs 4.11, 5.03, 5.04, 5.09, & 5.10 not communicating"
Fort Rock Solar IV,27297,"Aug 04, 2023 09:30:00 AM","Aug 05, 2023 03:00:00 PM",,"Fort Rock IV - Inverters 5, 7, 8 - Offline"
Eagle Point,27371,"Aug 04, 2023 01:00:00 PM","Aug 05, 2023 06:00:00 AM",,"INVs 1, 2, 4 reporting -1 kW production"
Bartow,27298,"Aug 04, 2023 01:15:00 PM","Aug 09, 2023 02:47:00 PM","Aug 09, 2023 03:19:00 PM","Bartow - INVs 1C.3, 1D.5, 1D.7, 2A.3, 2C.6, 2D.3, 3C.6, 3D.1, 4C.2, 4C.4, 4C.8 - Offline (Grid Under Frequency - GridF.OutLim)"
Gold Mine,27125,"Aug 04, 2023 02:23:00 PM",,,Correct reoccurring FLT Code 0 (Lockout) on ClearSkys Unit
Tumbleweed,27442,"Aug 04, 2023 02:45:00 PM",,,INV 10.07 offline (islanding)
Freemont,27299,"Aug 05, 2023 12:15:00 AM","Aug 05, 2023 01:11:00 PM",,Site offline
Davis Lane,27368,"Aug 05, 2023 06:30:00 AM","Aug 05, 2023 07:45:00 AM",,INV 3 offline
Agate Bay,27307,"Aug 05, 2023 11:15:00 AM",,,Site offline due to grid disturbance
Weaver,27300,"Aug 05, 2023 01:30:00 PM","Sep 01, 2023 12:50:00 PM","Sep 01, 2023 04:00:00 PM",INVs 9-16 offline with islanding fault
Aulander,27305,"Aug 05, 2023 04:30:00 PM",,,"INV 4 offline with ""door open"" alarm"
Connley Collector Station,27301,"Aug 05, 2023 09:00:00 PM","Aug 05, 2023 10:15:00 PM",,Substation and Sites offline due to lightning in the area
Rock Garden Collector Station,27302,"Aug 05, 2023 09:00:00 PM","Aug 05, 2023 10:15:00 PM",,Substation and Sites offline due to lightning in the area
Fort Rock Solar I,27304,"Aug 05, 2023 09:00:00 PM","Aug 05, 2023 10:15:00 PM",,Substation and sites offline due to lightning in the area
Fort Rock Solar IV,27306,"Aug 05, 2023 09:00:00 PM","Aug 05, 2023 10:15:00 PM",,Substation and sites offline due to lightning in the area
Woodline,27308,"Aug 06, 2023 09:00:00 AM","Aug 06, 2023 03:00:00 PM",,"INV 1 - Offline - AC Ground Fault and ""Stack cur. is permanently in limitation""  (+ CB no comms)"
Sheep,27319,"Aug 06, 2023 01:30:00 PM","Aug 07, 2023 04:00:00 PM",,Sheep site offline or not communicating
Starvation Solar I,27332,"Aug 06, 2023 01:30:00 PM","Aug 09, 2023 04:13:00 PM",,Starvation INV 8 offline
Lane,27336,"Aug 06, 2023 01:45:00 PM","Aug 08, 2023 12:13:00 PM","Aug 08, 2023 03:11:00 PM",INV 2 offline with phase imbalance
Audrey,27322,"Aug 06, 2023 02:42:00 PM","Aug 07, 2023 01:00:00 PM",,INV 1 offline with ground fault
South River H4 Solar Energy Storage,27009,"Aug 07, 2023 07:00:00 AM","Aug 07, 2023 03:12:00 PM","Aug 09, 2023 07:34:00 AM",Mow array and spot spray as needed
,27309,"Aug 07, 2023 07:00:00 AM",,"Aug 07, 2023 09:11:00 AM",Landscaping East vegetative equipment hour meter reading entry
,27313,"Aug 07, 2023 07:00:00 AM",,"Aug 09, 2023 07:36:00 AM",Landscaping South vegetative equipment hour meter reading entry
,27320,"Aug 07, 2023 07:00:00 AM",,"Aug 09, 2023 07:31:00 AM",EA-816 Altoz TRX766i Hourly Maintenance Schedule
Bartow,26398,"Aug 07, 2023 08:00:00 AM","Aug 14, 2023 03:00:00 PM","Sep 07, 2023 09:34:00 AM","Bartow - Alchemy Quarterly Inspection
See Files tab for a list of which 25% of equipment to inspect for each inspection.

Block 2"
Milo,27065,"Aug 07, 2023 08:00:00 AM","Aug 22, 2023 11:00:00 AM",,Milo - Menlo Capital Annual Inspection
Audrey,27068,"Aug 07, 2023 08:00:00 AM","Aug 22, 2023 12:00:00 PM",,Audrey - Menlo Capital Annual Inspection 
"Sesqui-C Solar, LLC",27257,"Aug 07, 2023 08:00:00 AM",,,Site Mow
Anderson,27321,"Aug 07, 2023 08:13:00 AM",,,Anderson - INV 12 - Underperforming
Mile Farm,27339,"Aug 07, 2023 09:00:00 AM",,,Mile Farm MOA
Market,27340,"Aug 07, 2023 09:00:00 AM",,,Market Duke MOA
Oakboro,27341,"Aug 07, 2023 09:00:00 AM",,,Oakboro Duke MOA
Warrenton,27343,"Aug 07, 2023 09:00:00 AM",,,Warrenton Duke MOA
Watts,27344,"Aug 07, 2023 09:00:00 AM",,,Watts MOA Inspction
Pamlico,27214,"Aug 07, 2023 09:03:00 AM","Aug 07, 2023 05:25:00 PM","Aug 08, 2023 07:26:00 AM",Mow array and spot spray as needed
South Robeson,27363,"Aug 07, 2023 09:25:00 AM",,,Inverters not performing on par w/peers.  Investigate underperformance.
Garner Solar,27409,"Aug 07, 2023 09:30:00 AM","Aug 13, 2023 11:44:00 AM",,Phase 2 Production Confirmation Tracking
,27311,"Aug 07, 2023 09:37:00 AM",,,NCEMC Project Engineering
Dayton Cutoff,25626,"Aug 07, 2023 10:00:00 AM","Aug 10, 2023 05:33:00 PM",,"Herbicide Application: Array, fenceline, and all pads."
Colton,25629,"Aug 07, 2023 10:00:00 AM","Aug 08, 2023 05:49:00 PM",,"Herbicide Application: Array, fenceline, and all pads."
Drift Creek,25839,"Aug 07, 2023 10:00:00 AM","Aug 09, 2023 05:52:00 PM",,"Drift Creek - Herbicide Application: Array, fenceline, and all pads."
Fort Rock Solar IV,26876,"Aug 07, 2023 10:00:00 AM","Aug 30, 2023 02:17:00 AM",,Fort Rock IV - Soltage Tri-Annual Inspection
"Railroad Solar Farm, LLC",27342,"Aug 07, 2023 10:52:00 AM",,,Railroad duke MOA
"Sesqui-C Solar, LLC",27211,"Aug 07, 2023 11:00:00 AM","Aug 07, 2023 04:57:00 PM",,Sesqui-C - hep Petra Semi-Annual Inspection
Gauss,27337,"Aug 07, 2023 11:00:00 AM",,,Gauss offline due to transfer trip
Brush Creek,27349,"Aug 07, 2023 11:00:00 AM","Aug 07, 2023 07:05:00 PM",,Take photos and get a count on dead buffer trees
Interstate,27129,"Aug 07, 2023 12:00:00 PM","Aug 02, 2023 01:35:00 PM",,Mow array and buffer
Princeton,27359,"Aug 07, 2023 12:30:00 PM","Aug 07, 2023 03:00:00 PM","Aug 08, 2023 07:12:00 AM",Mow outside of site as requested by Mr. Parker
Woodline,27510,"Aug 07, 2023 01:00:00 PM","Aug 17, 2023 04:28:00 PM",,"Trackers stuck in snow stow (≤23"" reported snow height)"
Fayetteville PWC,27364,"Aug 07, 2023 01:45:00 PM",,"Aug 23, 2023 09:28:00 AM",INV 6 offline 
Anderson,27346,"Aug 07, 2023 02:37:00 PM",,,Place RMA Chint inverter back in connex as a spare. 
Brush Creek,25840,"Aug 07, 2023 03:00:00 PM","Aug 09, 2023 05:50:00 PM",,"Brush Creek - Herbicide Application: Array, fenceline, and all pads."
Anderson,27354,"Aug 07, 2023 04:42:00 PM","Aug 08, 2023 10:56:00 AM",,Site offline
Owen,27351,"Aug 07, 2023 04:45:00 PM","Aug 08, 2023 11:30:00 AM",,INV 3 offline (CB1 Control Warning)
Sophie,27350,"Aug 07, 2023 04:56:00 PM","Aug 08, 2023 08:19:00 AM",,INV 2 offline (ground fault)
Queens Creek BESS,27348,"Aug 07, 2023 05:25:00 PM",,,"Troubleshoot transformer at 712 Queen’s Creek Road, Hubert, NC  28539 "
Gold Mine,27355,"Aug 07, 2023 05:41:00 PM","Aug 08, 2023 12:39:00 PM",,Site offline
Ridgeback,27356,"Aug 07, 2023 06:28:00 PM","Aug 08, 2023 07:40:00 AM",,Site offline
Milo,27352,"Aug 07, 2023 06:55:00 PM","Aug 08, 2023 02:40:00 PM",,INV 2 offline (Protection Relay)
1634,27366,"Aug 07, 2023 07:00:00 PM",,,1634 INVs not communicating
County Home,27367,"Aug 07, 2023 07:00:00 PM","Aug 08, 2023 10:25:00 AM",,"INVs 2.7, 5.4, 7.4 offline with overcurrent single input alarm"
Garner Solar,27372,"Aug 07, 2023 07:30:00 PM","Aug 08, 2023 12:00:00 PM",,Phase 2 offline
Collier,26982,"Aug 07, 2023 08:00:00 PM","Sep 07, 2023 07:30:00 PM",,Collier - Pine Gate Renewables Semi Annual Inspection
Yanceyville,27345,"Aug 07, 2023 08:00:00 PM",,,Yanceyville Duke MOA
Cottonwood,27361,"Aug 08, 2023 01:00:00 AM","Aug 08, 2023 08:31:00 AM",,Site offline due to transfer trip
Cotten Farm,27362,"Aug 08, 2023 03:00:00 AM","Aug 28, 2023 03:00:00 PM",,INV B2 not communicating but appears to be producing 
Cotten Farm,27459,"Aug 08, 2023 03:00:00 AM","Aug 28, 2023 08:27:00 AM",, INV B2 (No Comms) - PE Daily Production Confirmation (Meter Comparison)
Arba Solar Energy Storage,27130,"Aug 08, 2023 07:00:00 AM","Aug 08, 2023 01:36:00 PM","Aug 09, 2023 07:30:00 AM",Mow array and spot spray as needed
"Railroad Solar Farm, LLC",27165,"Aug 08, 2023 07:00:00 AM",,"Aug 22, 2023 07:28:00 AM",Mow array and spot spray as needed
Turkey Hill,27369,"Aug 08, 2023 07:00:00 AM","Sep 05, 2023 04:10:00 PM",,Turkey Hill - Mow array and buffer
Blackwater,27269,"Aug 08, 2023 08:00:00 AM","Aug 08, 2023 02:00:00 PM","Aug 08, 2023 02:00:00 PM",Technical Inspection of Blackwater Site
"Cosper Creek Solar, LLC",27370,"Aug 08, 2023 09:00:00 AM",,,Spray
1634,27365,"Aug 08, 2023 10:03:00 AM",,"Aug 28, 2023 08:28:00 AM",1634 Tracker Flood Sensor reporting 
Lane,27534,"Aug 08, 2023 12:45:00 PM",,,UPS (weather station) not communicating
Penny Hill,27374,"Aug 08, 2023 03:49:00 PM","Aug 08, 2023 05:35:00 PM","Aug 10, 2023 04:34:00 PM",Site offline
Owen,27314,"Aug 08, 2023 04:07:00 PM","Aug 31, 2023 11:30:00 AM",,Owen - Menlo Capital Semi-Annual Inspection
Tumbleweed,27373,"Aug 08, 2023 05:11:00 PM",,,INV 11.05 offline (islanding)
"Sandy River Solar, LLC",27392,"Aug 08, 2023 08:00:00 PM","Aug 10, 2023 05:00:00 PM",,Trackers stalled eastward
Beaufort,27377,"Aug 09, 2023 01:09:00 AM",,"Aug 09, 2023 12:16:00 PM",Renubot stuck-tow requested
Aulander,27213,"Aug 09, 2023 07:00:00 AM","Aug 11, 2023 12:19:00 PM","Aug 11, 2023 01:05:00 PM","Mow array and buffer, spot spray as needed"
Hamlet Solar Energy Storage,27215,"Aug 09, 2023 07:00:00 AM","Aug 09, 2023 01:07:00 PM","Aug 10, 2023 07:19:00 AM",Mow array and spot spray as needed
Cottonwood,27380,"Aug 09, 2023 07:00:00 AM",,,INV A1 offline / late startup
Hobnail,27270,"Aug 09, 2023 08:00:00 AM","Aug 09, 2023 12:00:00 PM","Aug 09, 2023 12:00:00 PM",Technical Inspection of Hobnail Site
Sophie,26873,"Aug 09, 2023 08:10:00 AM","Aug 09, 2023 01:00:00 PM",,Sophie - Menlo Capital Semi-Annual Inspection
Pamlico,27379,"Aug 09, 2023 10:30:00 AM",,,UAV follow up
Turkey Hill,27508,"Aug 09, 2023 10:45:00 AM",,,AlsoEnergy UPS 3 intermittently not communicating
Albertson,27381,"Aug 09, 2023 12:07:00 PM",,,Albertson - Duke MOA inspection
Bird Dog ,27271,"Aug 09, 2023 01:00:00 PM","Aug 09, 2023 05:00:00 PM","Aug 09, 2023 05:00:00 PM",Technical Inspection of Bird Dog Site
Milo,27385,"Aug 09, 2023 01:30:00 PM","Aug 10, 2023 12:00:00 PM",,Millo site offline
Briarwood,27384,"Aug 09, 2023 02:08:00 PM","Aug 10, 2023 09:10:00 AM",,INV 1 offline with islanding fault
Brightwood,27387,"Aug 09, 2023 03:37:00 PM","Aug 11, 2023 01:49:00 PM",,Site offline
Riley Solar I,27388,"Aug 09, 2023 07:00:00 PM",,,RESA Site Escort
Gauss,27390,"Aug 10, 2023 06:45:00 AM","Aug 10, 2023 10:05:00 AM",,Site offline due to transfer trip
Weaver,27263,"Aug 10, 2023 07:00:00 AM",,"Aug 17, 2023 07:39:00 AM",Mow array and spot spray as needed
Bartow,27435,"Aug 10, 2023 07:00:00 AM",,,INV 4A.1 - Offline (Bus differential high fault - Fault0110)
Wolfskin,27272,"Aug 10, 2023 08:00:00 AM","Aug 10, 2023 11:00:00 AM","Aug 10, 2023 11:00:00 AM",Technical Inspection of Wolfskin Site
Bartow,27402,"Aug 10, 2023 09:35:00 AM",,,Move spare inv from Durham WH to site connex
Jersey Solar,27376,"Aug 10, 2023 09:42:00 AM","Aug 14, 2023 11:08:00 AM","Aug 14, 2023 11:32:00 AM","Mow array and buffer, spot spray as needed"
Ridgeback,27393,"Aug 10, 2023 09:45:00 AM","Aug 10, 2023 12:30:00 PM",,Site offline with recloser open
Garner Solar,27394,"Aug 10, 2023 11:15:00 AM","Aug 13, 2023 11:44:00 AM",,Garner Phase 1 not communicating and/or offline
Chiloquin,27395,"Aug 10, 2023 06:15:00 PM",,,"INVs 7.04, 7.06, 7.08, 7.10, 7.12, 7.14, & 7.15 offline (islanding)"
Gauss,27400,"Aug 10, 2023 08:00:00 PM","Aug 11, 2023 08:22:00 AM",,Site offline due to transfer trip
,27401,"Aug 11, 2023 09:00:00 AM",,"Aug 22, 2023 12:36:00 PM","Order MC4 specialty connectors

Swap all parts to Truck 110 when received"
Fort Rock Solar IV,27405,"Aug 11, 2023 09:00:00 AM","Aug 11, 2023 04:45:00 PM",,"INV 5, 7, 8 offline"
,27209,"Aug 11, 2023 11:58:00 AM",,,Landscaping North vegetative equipment hour meter reading entry
Watson Seed,27406,"Aug 11, 2023 12:09:00 PM",,,"CBX 8      12 amps
CBX 54      5 amps
CBX 65      7 amps"
Cottonwood,27407,"Aug 11, 2023 01:53:00 PM","Aug 11, 2023 01:43:00 PM",,Cottonwood - Site - Offline (transfer trip)
Weaver,27408,"Aug 11, 2023 02:15:00 PM","Aug 12, 2023 01:00:00 PM","Aug 14, 2023 07:43:00 AM",INV 7 offline - islanding
"Sandy River Solar, LLC",27448,"Aug 11, 2023 05:15:00 PM","Sep 08, 2023 03:13:00 PM",,INV 4 zero production 
Adams Neilson,27410,"Aug 11, 2023 07:03:00 PM",,,"Call form Pip, please have J and M de-energize XFMR 7"
Agate Bay,27412,"Aug 11, 2023 10:05:00 PM","Aug 12, 2023 08:35:00 AM",,Site offline
Freemont,27411,"Aug 12, 2023 12:30:00 AM","Aug 12, 2023 12:35:00 PM",,Site offline
Chiloquin,27444,"Aug 12, 2023 05:00:00 PM",,,INV 10.03 offline (islanding)
Anderson,27413,"Aug 12, 2023 08:35:00 PM","Aug 13, 2023 08:00:00 AM",,Site offline
Anderson,27449,"Aug 13, 2023 12:20:00 PM",,,INV 9 underperforming by 50 kW (External Fan Error)
Weaver,27419,"Aug 13, 2023 02:00:00 PM","Aug 14, 2023 10:29:00 AM","Aug 15, 2023 10:29:00 AM",All inverters offline (islanding)
Gauss,27418,"Aug 13, 2023 02:03:00 PM","Aug 13, 2023 05:19:00 PM",,Site offline (transfer trip)
Starvation Ridge Collector Station,27414,"Aug 13, 2023 07:35:00 PM","Aug 14, 2023 07:27:00 AM",,Substation offline
Starvation Solar I,27415,"Aug 13, 2023 07:35:00 PM","Aug 14, 2023 07:27:00 AM",,Site offline
Best Lane Collector Station,27416,"Aug 13, 2023 07:35:00 PM","Aug 13, 2023 08:25:00 PM",,Substation offline
Riley Solar I,27417,"Aug 13, 2023 07:35:00 PM","Aug 13, 2023 08:25:00 PM",,Site offline
Connley Collector Station,27436,"Aug 13, 2023 07:42:00 PM","Aug 14, 2023 01:45:00 PM",,Connley & Rock Garden BPA comms loss
County Home,27771,"Aug 13, 2023 07:55:00 PM","Sep 07, 2023 01:28:00 PM",,INV 7.08 not communicating
,27425,"Aug 14, 2023 06:25:00 AM",,,NCEMC Project Engineering
Sarah,27216,"Aug 14, 2023 07:00:00 AM",,"Aug 14, 2023 05:02:00 PM","Mow/graze, spot spray as needed"
,27420,"Aug 14, 2023 07:00:00 AM",,"Aug 15, 2023 07:10:00 AM",Landscaping East vegetative equipment hour meter reading entry
,27427,"Aug 14, 2023 07:00:00 AM",,"Aug 14, 2023 11:32:00 AM",Landscaping South vegetative equipment hour meter reading entry
Red Oak,27429,"Aug 14, 2023 07:00:00 AM","Aug 15, 2023 09:35:00 AM","Aug 15, 2023 11:52:00 AM",Red Oak - NESM Semi-Annual Inspection
Ridgeback,27441,"Aug 14, 2023 07:20:00 AM","Aug 14, 2023 07:44:00 AM",,Site offline
,27315,"Aug 14, 2023 07:21:00 AM",,,Landscaping North vegetative equipment hour meter reading entry
Gastonia Solar,27462,"Aug 14, 2023 07:23:00 AM",,,"Gastonia - INVs 1.13.33, 1.13.34 - Offline (AC Breaker reset failure)"
Davis Lane,27080,"Aug 14, 2023 07:30:00 AM","Aug 17, 2023 09:30:00 AM","Aug 17, 2023 11:40:00 AM",Davis Lane - Scheduled Outage (Dominion Substation Maintenance) - + No Comms
Dairy,27602,"Aug 14, 2023 10:00:00 AM",,,"Herbicide Application: Array, fenceline, and all pads."
Progress Energy - Sutton,27760,"Aug 14, 2023 10:30:00 AM",,,"Wire Management
Site Capture CM ticket #358148"
Gauss,27445,"Aug 14, 2023 12:08:00 PM","Aug 14, 2023 12:56:00 PM",,Site offline (transfer trip)
Starvation Solar I,27446,"Aug 14, 2023 01:27:00 PM","Aug 15, 2023 02:52:00 PM",,INV 5 offline
Progress Energy - Sutton,27456,"Aug 14, 2023 02:00:00 PM",,"Aug 15, 2023 04:13:00 PM",Site comms out
Connley Collector Station,27464,"Aug 14, 2023 02:00:00 PM",,,Perform a health check of the demark battery system
Chiloquin,27447,"Aug 14, 2023 03:20:00 PM",,,INV 8.10 offline (islanding)
Audrey,27460,"Aug 14, 2023 04:15:00 PM","Aug 15, 2023 11:35:00 AM",,Site offline
Tumbleweed,27455,"Aug 14, 2023 06:13:00 PM",,,Tumbleweed - INV 4.04 - Offline (Islanding fault)
"Cosper Creek Solar, LLC",27430,"Aug 14, 2023 07:00:00 PM","Aug 17, 2023 03:47:00 PM",,Cosper Creek - hep Petra Semi-Annual Inspection
Starvation Solar I,27454,"Aug 14, 2023 07:00:00 PM","Aug 15, 2023 04:35:00 PM",,Starvation Solar - INV 6 - Offline (Hardware Fault)
Lafayette,27208,"Aug 14, 2023 08:00:00 PM","Aug 23, 2023 09:01:00 AM",,"Lafayette - Alchemy Annual Inspection

See Files tab for a list of which 25% of equipment to inspect for each inspection."
Schell,27261,"Aug 15, 2023 07:00:00 AM",,"Aug 17, 2023 07:40:00 AM","Mow array and buffer, spot spray as needed"
NC 102,27399,"Aug 15, 2023 07:37:00 AM","Aug 15, 2023 02:46:00 PM",,NC 102 Site visit - Tuesday 8/15 at 11 AM
Vanguard - Product Development,27492,"Aug 15, 2023 09:00:00 AM","Aug 25, 2023 12:10:00 PM",,Product Development is not communicating
Vanguard - Classic Leather,27507,"Aug 15, 2023 09:00:00 AM","Aug 25, 2023 12:10:00 PM",,Vanguard Sites - Classic Leather and Production Development - No Data/Comms in Monitoring
Red Oak,27461,"Aug 15, 2023 09:35:00 AM","Aug 31, 2023 11:14:00 AM","Aug 31, 2023 12:03:00 PM","CB B2-02 offline, power supply needed"
Pamlico,27473,"Aug 15, 2023 11:45:00 AM","Aug 15, 2023 12:45:00 PM","Aug 16, 2023 11:16:00 AM",Site offline
Weaver,27466,"Aug 15, 2023 12:30:00 PM",,,INV 1-8 offline (islanding)
Penny Hill,27465,"Aug 15, 2023 01:15:00 PM","Aug 15, 2023 10:15:00 PM",,Site offline
,27453,"Aug 15, 2023 02:05:00 PM",,,CSS Campus monthly building inspection
1634,27474,"Aug 15, 2023 03:05:00 PM",,,Tracker issues 6  identified -UAV flight
Weaver,27468,"Aug 15, 2023 03:30:00 PM",,,String repair- UAV flight
Ridgeback,27471,"Aug 15, 2023 03:30:00 PM","Aug 15, 2023 04:18:00 PM",,Ridgeback - Site - Offline (Grid Event)
Bani,27467,"Aug 15, 2023 03:58:00 PM",,"Aug 28, 2023 08:27:00 AM",String Repair-UAV flight
Star,27483,"Aug 15, 2023 04:15:00 PM","Aug 16, 2023 09:27:00 AM",,Star - Site - Offline (Storm Grid Lockout)
Fayetteville PWC,27479,"Aug 15, 2023 04:30:00 PM","Aug 16, 2023 08:00:00 AM","Aug 16, 2023 03:36:00 PM",Fayetteville PWC - Site - No Comms
Facile Solar,27480,"Aug 15, 2023 04:30:00 PM","Aug 16, 2023 10:00:00 AM",,Facile - Site - No Communciations
Sarah,27475,"Aug 15, 2023 05:15:00 PM","Aug 16, 2023 09:00:00 AM",,Sarah - Site - Offline (Storm Grid Outage)
Ridgeback,27476,"Aug 15, 2023 06:29:00 PM","Aug 15, 2023 10:17:00 PM",,Ridgeback - Site - Offline 
Faison,27481,"Aug 15, 2023 07:00:00 PM",,,INV 2 offline (cycling fault)
Princeton,27478,"Aug 15, 2023 08:00:00 PM",,,Princeton - SEL Meter - No Comms
Freemont,27484,"Aug 16, 2023 02:00:00 AM","Aug 16, 2023 08:56:00 AM",,Site offline
Amethyst,27482,"Aug 16, 2023 07:00:00 AM","Aug 16, 2023 01:00:00 PM",,INV 1 offline (coolant pressure)
