Drift Creek Monthly
Start date:,10/1/2023 12:00:00 AM
End date:,10/31/2023 12:00:00 AM

Timestamp,POA Sensor,Weather station module temperature,Weather station ambient temperature,Max wind speed - Weather Station (Basic w/ Wind),Production meter AC voltage,Production meter active power,"Inverter - 1 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 2 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 3 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 4 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 5 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 6 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 7 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 8 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 9 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 10 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 11 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 12 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 13 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 14 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 15 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 16 CPS SCH125KTL-DO/US-600, Active Power","Inverter - 17 CPS SCH100KTL-DO/US-600, Active Power","Inverter - 18 CPS SCH100KTL-DO/US-600, Active Power"
10/1/2023 12:15:00 PM,860.0281,100.4113,62.05433,4,,2124.298,121.1139,125.8,125.5571,125.4111,126.1111,125.3889,124.9681,125.3944,125.3945,122.1247,120.9185,105.2123,120.8088,120.5138,119.818,112.3503,100.4,100.9904
10/1/2023 12:30:00 PM,876.4702,103.5978,63.05678,3,,2130.319,121.8857,125.8021,125.5562,125.3833,126.1,125.3889,124.9725,125.3722,125.3929,122.9084,121.326,105.8217,121.5494,121.2421,120.7344,113.1662,100.3889,100.9736
10/1/2023 12:45:00 PM,890.0636,105.537,63.96089,3,,2135.756,122.4768,125.8097,125.541,125.3945,126.0945,125.3833,124.9411,125.37,125.3636,123.8345,121.8156,106.5822,122.4083,122.2123,121.43,113.7087,100.4056,100.8923
10/1/2023 1:00:00 PM,890.9352,106.1637,65.17706,3,,2137.197,122.7433,125.8,125.5494,125.3959,126.1019,125.3833,124.9251,125.3918,125.3987,124.242,121.8295,106.9061,122.595,122.3623,121.6122,113.7285,100.4,100.8024
10/1/2023 1:15:00 PM,892.4647,106.6735,65.99575,2,,2136.297,122.6836,125.7626,125.5523,125.3971,126.1001,125.3941,124.954,125.3764,125.3832,124.2216,121.708,106.896,122.6406,122.4373,121.499,113.3903,100.3889,100.8564
10/1/2023 1:30:00 PM,882.473,107.4628,66.79118,3,,2123.909,120.979,125.777,125.5104,125.4032,126.06,125.3689,124.9392,125.3764,125.3779,122.2912,119.9337,105.3166,120.8624,120.741,119.9008,112.0611,100.3956,100.549
10/1/2023 1:45:00 PM,859.7519,105.7059,66.88628,3,,2105.682,119.2366,125.244,125.4534,125.0062,125.6671,125.0888,124.9196,125.2501,125.2361,120.4839,118.4965,103.7976,119.1339,119.1282,118.4535,110.4787,99.93777,99.35822
10/1/2023 2:00:00 PM,820.45,103.9986,66.72537,3,,2067.931,115.5595,122.7591,124.1737,122.8763,123.3819,123.2302,123.9619,123.7237,124.3026,117.2844,115.0209,100.8784,115.7282,115.8741,115.3396,107.3152,99.8495,96.81623
10/1/2023 2:15:00 PM,806.8981,103.6356,67.25119,3,,2053.566,115.2935,122.5189,124.0906,122.811,123.2964,123.1527,123.8525,123.193,124.1341,116.9523,114.2936,100.3773,115.4386,115.4901,114.7321,106.7478,99.9043,90.46921
10/1/2023 2:30:00 PM,795.4189,102.5392,67.39427,3,,2011.934,113.1333,120.0875,122.1395,120.4734,120.8802,120.9134,122.0551,121.0075,122.4154,114.7699,112.1539,98.78931,113.4022,113.554,112.8943,104.955,99.71387,81.66017
10/1/2023 2:45:00 PM,768.5981,101.1317,68.01965,3,,1926.002,108.466,115.0718,117.0225,115.376,115.7342,115.715,116.8247,115.8419,117.1307,109.6972,107.4156,94.41399,108.3919,108.613,108.0783,100.3617,98.91053,74.45177
10/1/2023 3:00:00 PM,749.1752,102.9737,68.61848,2,,1850.332,104.4488,110.7608,112.5389,110.8985,111.0955,111.1051,112.1747,111.0775,112.5269,105.3676,103.0546,90.74806,104.1895,104.5214,103.9868,96.49789,95.29025,70.00927
