Gauss Solar,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
Timestamp,POA*,"Schneider SmartGen CS1800 Inverter - 1.1, Total Power","Schneider SmartGen CS1800 Inverter - 1.2, Total Power","Schneider SmartGen CS1800 Inverter - 2.1, Total Power",Production meter active power
,W/m²,kW,kW,kW,kW
2023-04-08 08:00:00,41.91716,74.51292,76.79251,73.97909,227.5257
2023-04-08 09:00:00,81.78513,158.8796,163.3976,157.6334,480.0204
2023-04-08 10:00:00,87.54054,171.5129,175.4261,170.5359,515.8281
2023-04-08 11:00:00,137.3295,270.0379,276.8384,269.6317,814.8195
2023-04-08 12:00:00,158.7372,312.8801,318.0827,312.5364,938.3415
2023-04-08 13:00:00,215.6412,421.2278,435.2132,419.426,1270.105
2023-04-08 14:00:00,155.6566,314.6778,323.1925,313.6671,947.8425
2023-04-08 15:00:00,115.1863,232.2962,238.3356,230.9247,699.1558
2023-04-08 16:00:00,64.9359,130.203,134.5484,129.149,394.5251
2023-04-08 17:00:00,36.73524,68.77551,70.72818,68.18452,209.8329
2023-04-08 18:00:00,15.02523,23.78481,24.6988,22.8131,74.81436
2023-04-08 19:00:00,0.8356571,-0.3124007,-0.2101184,-0.243626,-4.282319
2023-04-08 20:00:00,0,0.005001485,0.002642695,0.002029395,-7.819664
2023-04-08 21:00:00,0,0.0130131,-0.0104559,-0.01423885,-7.88453
2023-04-08 22:00:00,0,-0.01135246,0.001637194,-0.0136724,-8.009854
2023-04-08 23:00:00,0,-0.008129534,-0.01453271,-0.005355547,-7.975572
2023-04-09 00:00:00,0,0.01411808,0.007953756,-0.005588166,-8.084387
2023-04-09 01:00:00,0,-0.007730584,-0.002118039,-0.004181746,-8.318325
2023-04-09 02:00:00,0,-0.00375621,-0.01577661,-0.002356876,-8.347619
2023-04-09 03:00:00,0,0.00912098,-0.001474556,-0.01175599,-8.395842
2023-04-09 04:00:00,0,-0.01650806,-0.02245444,-0.006143646,-8.578313
2023-04-09 05:00:00,0,-0.01933983,-0.002910583,-0.01259008,-8.548129
2023-04-09 06:00:00,0.5299338,0.00374773,0.0004602025,-0.01314227,-8.582413
2023-04-09 07:00:00,37.50765,51.53737,53.55975,51.06403,153.0945
2023-04-09 08:00:00,312.051,542.7248,559.6749,539.1181,1634.313
2023-04-09 09:00:00,600.5314,1125.974,1153.452,1124.676,3374.935
2023-04-09 10:00:00,835.2086,1558.189,1585.547,1558.739,4648.77
2023-04-09 11:00:00,1005.152,1666.658,1666.676,1666.668,4938.437
2023-04-09 12:00:00,1100.094,1666.681,1666.678,1666.632,4937.44
2023-04-09 13:00:00,1114.644,1666.637,1666.682,1666.652,4936.731
2023-04-09 14:00:00,1020.182,1624.015,1620.594,1645.53,4804.436
2023-04-09 15:00:00,911.9058,1637.842,1650.742,1637.866,4861.528
2023-04-09 16:00:00,705.6777,1311.236,1337.834,1309.324,3913.546
2023-04-09 17:00:00,444.4665,805.4787,820.0427,800.7039,2402.946
2023-04-09 18:00:00,177.8923,278.7821,270.8242,274.8936,819.3576
2023-04-09 19:00:00,8.763437,18.10397,17.09326,17.9613,53.68194
2023-04-09 20:00:00,0,-0.01255012,-0.004960982,0.002084207,-7.782727
2023-04-09 21:00:00,0,-0.01024746,-0.006756945,-0.00273154,-7.776818
2023-04-09 22:00:00,0,-0.01242531,-0.0007707857,-0.009802613,-7.744623
2023-04-09 23:00:00,0,0.004567307,-0.0143471,-0.000404871,-7.73668
2023-04-10 00:00:00,0,-0.008380397,-0.006131228,0.004200125,-7.740258
2023-04-10 01:00:00,0,-0.01349787,-0.0169279,0.003068077,-7.686101
2023-04-10 02:00:00,0,-0.007673515,-0.008070699,0.004217912,-7.682705
2023-04-10 03:00:00,0,0.004875029,-0.006323928,-0.007504745,-7.72997
2023-04-10 04:00:00,0,-0.007446073,-0.001498977,0.005706794,-7.808015
2023-04-10 05:00:00,0.132927,-0.007277792,0.002044861,0.01585592,-7.834419
2023-04-10 06:00:00,1.372447,-0.00843315,-0.01627283,0.005918109,-8.320681
2023-04-10 07:00:00,90.33017,129.9614,134.5325,131.7163,396.7863
2023-04-10 08:00:00,335.6666,591.9782,609.4066,591.1806,1782.68
2023-04-10 09:00:00,603.8805,1134.327,1163.337,1130.972,3398.106
2023-04-10 10:00:00,839.0297,1558.041,1584.609,1556.819,4645.454
2023-04-10 11:00:00,1011.512,1666.664,1666.629,1666.694,4937.636
2023-04-10 12:00:00,1107.672,1472.991,1472.896,1472.975,4362.762
2023-04-10 13:00:00,1121.783,1666.617,1666.655,1666.653,4937.095
2023-04-10 14:00:00,1062.254,1666.295,1666.694,1666.626,4936.385
2023-04-10 15:00:00,920.5947,1622.349,1640.975,1622.481,4823.882
2023-04-10 16:00:00,705.2627,1287.715,1315.763,1285.402,3845.946
2023-04-10 17:00:00,443.3109,792.5865,808.7009,789.2393,2367.821
2023-04-10 18:00:00,177.5636,279.4453,270.8886,275.7239,820.8359
2023-04-10 19:00:00,8.262836,17.90059,16.67979,17.74477,52.62361
2023-04-10 20:00:00,0,9.2578e-05,-0.007196865,0.002414413,-7.893572
2023-04-10 21:00:00,0,-0.004968101,-0.001305964,0.00435071,-7.898633
2023-04-10 22:00:00,0,-0.0197154,-0.02359179,-0.0105274,-7.873975
2023-04-10 23:00:00,0,0.01115749,-0.003591801,-0.003631442,-7.823477
2023-04-11 00:00:00,0,-0.01152169,-0.01173941,-0.005398022,-7.762302
2023-04-11 01:00:00,0,-0.01178702,-0.02574227,-0.001729399,-7.824042
2023-04-11 02:00:00,0,-0.01775652,-0.006096273,-0.005919298,-7.784976
2023-04-11 03:00:00,0,-0.01687743,0.01512647,0.003778019,-7.738635
2023-04-11 04:00:00,0,-0.006987694,0.0004691902,-0.003862303,-7.73793
2023-04-11 05:00:00,0,-0.003650221,-0.02580809,-0.0008772307,-7.729153
2023-04-11 06:00:00,1.923566,-0.00266325,0.7105561,0.01710754,-6.977671
2023-04-11 07:00:00,95.27033,146.6543,151.4848,146.782,446.0545
2023-04-11 08:00:00,332.3037,595.4472,612.2587,593.595,1791.8
2023-04-11 09:00:00,597.494,1105.088,1133.2,1104.27,3314.056
2023-04-11 10:00:00,828.9736,1506.368,1541.796,1503.239,4500.647
2023-04-11 11:00:00,998.7007,1666.052,1666.689,1666.1,4936.678
2023-04-11 12:00:00,1097.498,1666.697,1666.627,1666.645,4936.41
2023-04-11 13:00:00,1112.592,1666.233,1666.589,1666.651,4935.494
2023-04-11 14:00:00,1046.654,1666.661,1666.667,1666.674,4934.561
2023-04-11 15:00:00,907.0375,1587.062,1608.942,1585.177,4719.035
2023-04-11 16:00:00,696.2202,1239.776,1267.826,1235.641,3699.731
2023-04-11 17:00:00,439.6116,774.0924,788.3118,768.6497,2309.055
2023-04-11 18:00:00,174.4891,269.8641,261.7815,265.7642,792.0142
