Freemont Solar Center,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
Timestamp,POA*,"TMIEC Inverter - A, Active Power P","TMIEC Inverter - B, Active Power P","TMIEC Inverter - C, Active Power P",Production meter active power
,W/m²,kW,kW,kW,kW
2023-08-06 06:00:00,2.083816,,0,0,-9.599999
2023-08-06 07:00:00,74.48962,,85.0269,78.48692,152.7837
2023-08-06 08:00:00,285.9407,,404.0899,371.57,765.2139
2023-08-06 09:00:00,463.4101,,716.3707,695.2684,1405.646
2023-08-06 10:00:00,652.0118,,1012.357,1003.399,1992.537
2023-08-06 11:00:00,876.8884,,1235.385,1275.631,2441.413
2023-08-06 12:00:00,979.7523,,1238.479,1396.843,2781.871
2023-08-06 13:00:00,860.6623,,1153.769,1242.239,2326.132
2023-08-06 14:00:00,970.0605,,1440.688,1478.987,2847.772
2023-08-06 15:00:00,99.35243,,128.1233,152.4822,292.7381
2023-08-06 16:00:00,244.5594,,399.8731,405.6011,791.4383
2023-08-06 17:00:00,216.4677,,379.9644,325.2515,688.8857
2023-08-06 18:00:00,113.3849,,188.6965,187.8262,366.9885
2023-08-06 19:00:00,47.16365,,75.67342,74.86881,148.9656
2023-08-06 20:00:00,0.3615762,,0,0,-7.895224
2023-08-06 21:00:00,0,,0,0,-9.599999
2023-08-06 22:00:00,0,,0,0,-9.599999
2023-08-06 23:00:00,0,,0,0,-9.599999
2023-08-07 00:00:00,0,,0,0,-9.599999
2023-08-07 01:00:00,0,,0,0,-7.934666
2023-08-07 02:00:00,0,,,,0
2023-08-07 03:00:00,0,,,,0
2023-08-07 04:00:00,0,,,,0
2023-08-07 05:00:00,0,,,,0
2023-08-07 06:00:00,0.2573298,,,,0
2023-08-07 07:00:00,11.46367,,3.326527,3.93502,-1.367701
2023-08-07 08:00:00,89.76058,,150.1269,149.3265,288.9817
2023-08-07 09:00:00,309.0398,,495.051,520.3475,1017.928
2023-08-07 10:00:00,496.3727,,868.8026,775.6388,1573.696
2023-08-07 11:00:00,657.7515,,1034.754,994.6807,2021.908
2023-08-07 12:00:00,971.102,,1429.231,1445.779,2891.799
2023-08-07 13:00:00,963.7788,,1433.633,1397.198,2788.342
2023-08-07 14:00:00,777.3917,,1222.622,1177.005,2361.054
2023-08-07 15:00:00,432.1034,,672.7306,666.1939,1364.294
2023-08-07 16:00:00,75.15756,,139.2013,138.0923,264.7989
2023-08-07 17:00:00,4.799009,,0.1142368,0,-9.593719
