Anderson Monthly
Start date:,10/1/2023 12:00:00 AM
End date:,10/31/2023 12:00:00 AM

Timestamp,POA Sensor,Weather station module temperature,Weather station ambient temperature,Max wind speed - WS (Amb/Mod Temp),Production meter L-N voltage,Production meter active power,"CPS SCH 125 | INV-01, AC Power Output","CPS SCH 125 | INV-02, AC Power Output","CPS SCH 125 | INV-03, AC Power Output","CPS SCH 125 | INV-04, AC Power Output","CPS SCH 125 | INV-05, AC Power Output","CPS SCH 125 | INV-06, AC Power Output","CPS SCH 125 | INV-07, AC Power Output","CPS SCH 125 | INV-08, AC Power Output","CPS SCH 125 | INV-09, AC Power Output","CPS SCH 125 | INV-10, AC Power Output","CPS SCH 125 | INV-11, AC Power Output","CPS SCH 125 | INV-12, AC Power Output","CPS SCH 125 | INV-13, AC Power Output","CPS SCH 125 | INV-14, AC Power Output","CPS SCH 125 | INV-15, AC Power Output","CPS SCH 125 | INV-16, AC Power Output"
10/1/2023 11:45:00 AM,803.747,117.964,83.1096,2,7.394667,1881.89,124.02,125.497,125.327,123.673,122.443,121.453,123.32,120.9,75.3933,123.113,125.263,108.63,125.227,116.7,125.02,122.957
10/1/2023 12:00:00 PM,805.478,118.213,82.6206,3,7.444336,1884.82,124.08,125.48,125.297,123.997,122.7,121.713,123.613,121.917,75.3733,124.787,125.273,108.837,125.223,116.887,124.993,123.153
10/1/2023 12:15:00 PM,833.531,119.309,83.954,2,7.436667,1902.76,124.117,125.537,125.307,124.887,124.647,123.933,125.07,124.597,75.38,124.767,125.277,112.497,125.23,120.803,125.107,125.057
10/1/2023 12:30:00 PM,810.454,121.99,85.3811,2,7.428,1885.35,124.117,125.433,125.207,123.687,122.533,121.307,123.2,123.35,75.3933,124.76,125.223,109.14,125.183,117.627,124.99,123.643
10/1/2023 12:45:00 PM,823.39,122.0235,85.8747,3,7.42,1898.66,124.12,125.57,125.35,124.95,124.333,122.03,124.9,124.947,75.3867,124.813,125.28,110.553,125.287,119.243,125.123,124.837
10/1/2023 1:00:00 PM,829.396,121.2515,85.9055,4,7.39722,1901.35,124.123,125.573,125.36,125.057,125.017,124.223,125.34,125.14,75.3933,124.823,125.267,111.183,125.273,119.83,125.127,125.093
10/1/2023 1:15:00 PM,875.997,121.6265,87.2035,4,7.388777,1913.77,124.15,125.63,125.33,125.077,125.273,125.26,125.487,125.173,75.38,124.85,125.3,117.237,125.253,124.36,125.127,125.403
10/1/2023 1:30:00 PM,918.958,124.58,88.1176,3,7.38722,1787.38,116.14,116.37,120.01,122.097,119.27,120.213,117.397,120.993,74.3067,124.347,121.333,114.22,114.067,110.37,111.923,106.433
10/1/2023 1:45:00 PM,686.147,120.4095,86.6802,3,7.40289,1326.16,93.14,92.6,93.59,90.5733,94.49,93.0867,95.9067,92.8833,57.98,87.2433,85.7633,82.3033,91.0467,87.46,91.41,82.0033
10/1/2023 2:00:00 PM,645.754,119.027,86.8607,2,7.407777,1299.12,87.01,94.8133,86.3333,95.83,84.8967,89.88,86.0167,95.5967,59.1567,86.5367,84.78,79.9267,91.3133,86.88,87.1567,80.24
10/1/2023 2:15:00 PM,608.39,112.6295,86.4539,2,7.43011,1272.14,76.6167,78.33,87.7433,81.9933,84.26,90.3067,76.7867,77.1667,56.0133,79.3967,80.41,80.57,79.4967,81.0867,78.41,79.13
10/1/2023 2:30:00 PM,571.767,107.4695,85.6839,2,7.40378,1180.82,68.2833,73.2067,71.74,74.99,65.18,73.3633,71.5467,69.2233,54.3,73.0633,80.59,69.1867,77.25,72.2333,82.45,79.99
10/1/2023 2:45:00 PM,745.07,114.304,86.8607,1,7.40422,1473.06,97.1,106.037,95.89,89.3233,93.8133,93.8933,93.9467,101.44,62.79,104.253,104.933,101.957,109.767,110.633,110.65,114.95
10/1/2023 3:00:00 PM,459.105,113.3135,86.8801,2,7.392557,1117.02,64.93,66.1367,75.22,70.7667,68.89,64.5867,61.4167,69.0967,52.31,72.76,73.7367,63.2467,63.9533,72.02,60.5533,73.3333
10/1/2023 3:15:00 PM,606.403,109.5515,86.5122,2,7.426,1328.73,91.97,87.52,91.2233,82.6433,84.9567,80.97,88.34,86.1367,57.5833,90.2767,87.3667,92.55,88.25,90.5167,91.68,91.57
10/1/2023 3:30:00 PM,685.208,112.2545,86.6619,2,7.450667,1425.14,94.8933,104.02,96.7433,97.96,95.4367,99.0933,97.9133,95.0067,61.3867,96.5833,93.9,88.92,93.2333,88.14,88.1567,82.8933
10/1/2023 3:45:00 PM,787.468,116.9885,87.4434,2,7.44989,1713.82,100.817,100.137,95.6533,104.84,101.57,112.69,108.057,108.377,73.2867,114.963,119.753,111.12,122.183,117.05,122.143,122.913
10/1/2023 4:00:00 PM,762.341,121.3855,88.562,1,7.454667,1750.89,109.82,104.333,97.9167,104.18,109.35,108.167,118.533,117.397,74.9533,118.51,120.28,108.747,111.33,115.567,109.58,119.433
10/1/2023 4:15:00 PM,511.309,118.7415,88.1473,2,7.42411,1169.13,70.58,84.7667,85.6333,76.66,87.6933,81.1967,71.53,73.47,54.0333,69.1633,73.1967,62.76,72.8467,75.5867,70.89,76.6067
10/1/2023 4:30:00 PM,596.992,105.58,86.5385,1,7.43322,1234.74,70.2967,81.6,83.5,82.6767,79.0067,81.42,83.1367,75.0833,52.91,83.65,86.8767,74.6033,87.36,83.1133,77.3833,86.02
10/1/2023 4:45:00 PM,844.083,118.118,88.1107,2,7.456,1883.27,117.25,125.553,125.337,125.03,125.16,123.77,123.473,112.567,75.35,124.667,125.22,112.887,125.217,121.383,125.1,125.347
10/1/2023 5:00:00 PM,332.266,115.0555,87.2515,2,7.39278,829.79,50.14,59.4167,57.47,59.4967,60.8633,52.9267,50.61,42.87,38.58,52.58,54.67,47.39,49.33,48.96,49.4,50.7233
10/1/2023 5:15:00 PM,680.163,104.1645,85.8164,2,7.42689,1494.03,86.32,105.887,103.503,103.803,101.67,85.0033,86.5667,73.69,73.18,99.3333,103.157,92.8633,104.96,98.3433,96.6433,96.6633
10/1/2023 5:30:00 PM,554.742,106.697,85.693,1,7.40033,1162.94,61.69,77.5,83.2967,81.48,79.11,69.03,68.6833,58.8767,72.5333,78.99,81.6567,74.2133,84.0367,77.8433,64.48,65.82
10/1/2023 5:45:00 PM,445.356,101.347,84.9572,2,7.399333,855.591,32.3933,54.5833,56.8967,64.7933,62.59,54.8933,53.3333,46.4933,58.86,62.3367,64.2,59.81,67.01,52.47,40.7733,42.12
10/1/2023 6:00:00 PM,332.53,95.68205,83.89,2,7.393667,542.663,11.9267,29.68,29.76,40.9833,44.3133,38.2167,37.99,33.43,42.7633,44.91,46.3467,42.4833,40.96,27.97,22.4633,23.0067
10/1/2023 6:15:00 PM,104.718,87.0001,82.6583,1,7.391,272.405,6.23667,9.13333,11.7867,16.66,21.9967,20.0533,21.1267,19.9133,27.0667,27.4567,26.3367,22.3567,18.4767,12.07,11.75,9.88
10/1/2023 6:30:00 PM,47.4893,78.4518,81.3363,1,7.38778,104.114,4.44667,4.69667,4.60333,5.36667,6.06,5.90333,9,8.97333,10.6533,10.52,9.89333,8.24333,6.44333,5.60333,5.65,4.64
10/1/2023 6:45:00 PM,18.2727,74.2734,80.1115,1,7.347443,41.84,2.73667,2.78,2.63333,3.2,2.9,2.81667,2.98667,3.05667,3.33333,3.14,3.35667,2.9,3.15333,2.80667,2.84,2.68333
10/1/2023 7:00:00 PM,4.20733,70.81815,78.5884,0,7.372223,14.0307,1.14,1.11,0.953333,1.36,1.17667,1.14667,1.19,1.16667,1.26,1.18333,1.26333,1.06,1.19667,1.09,1.14,1.13333
10/1/2023 7:15:00 PM,-1.92733,68.2666,76.9249,0,7.376443,-2.33467,0.08,0.0133333,0,0.1,0.07,0.0633333,0.0766667,0.0666667,0.09,0.123333,0.0766667,0.0433333,0.0833333,0.0733333,0.0633333,0.0433333
10/1/2023 7:30:00 PM,-4.38167,66.1737,75.1127,0,7.382333,-3.11067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/1/2023 7:45:00 PM,-4.386,63.94715,72.9064,0,7.388,-3.11767,0,,,,,,,,,,,,,,,
10/1/2023 8:00:00 PM,-2.99833,62.82195,71.3731,0,7.395557,-3.13233,0,,,,,,,,,,,,,,,
10/1/2023 8:15:00 PM,-3.315,62.1344,69.9197,0,7.405443,-3.149,0,,,,,,,,,,,,,,,
10/1/2023 8:30:00 PM,-2.74033,61.4743,68.7451,0,7.400557,-3.139,0,,,,,,,,,,,,,,,
10/1/2023 8:45:00 PM,-1.888,60.86185,68.3452,0,7.39,-3.12667,0,,,,,,,,,,,,,,,
10/1/2023 9:00:00 PM,-2.10333,60.6531,67.6665,0,7.401223,-3.14467,0,,,,,,,,,,,,,,,
10/1/2023 9:15:00 PM,-2.171,60.41595,67.0461,0,7.398443,-3.13833,0,,,,,,,,,,,,,,,
10/1/2023 9:30:00 PM,-1.98867,60.06895,66.5434,0,7.37511,-3.105,0,,,,,,,,,,,,,,,
