Site Name,Production,Irradiance,Inverter,Max Inverter Blanks,Inverters With Most Missings
Sedberry,,,,0,"Huawei Inverter A1 - 011, Power, Huawei Inverter A1 - 012, Power, Huawei Inverter A1 - 013, Power, Huawei Inverter A1 - 014, Power, Huawei Inverter A1 - 021, Power, Huawei Inverter A1 - 022, Power, Huawei Inverter A1 - 023, Power, Huawei Inverter A1 - 024, Power, Huawei Inverter A1 - 031, Power, Huawei Inverter A1 - 032, Power, Huawei Inverter A1 - 033, Power, Huawei Inverter A1 - 034, Power, Huawei Inverter A1 - 041, Power, Huawei Inverter A1 - 042, Power, Huawei Inverter A1 - 043, Power, Huawei Inverter A1 - 051, Power, Huawei Inverter A1 - 052, Power, Huawei Inverter A1 - 053, Power, Huawei Inverter A1 - 054, Power, Huawei Inverter A1 - 061, Power, Huawei Inverter A1 - 062, Power, Huawei Inverter A1 - 063, Power, Huawei Inverter A1 - 071, Power, Huawei Inverter A1 - 072, Power, Huawei Inverter A1 - 073, Power, Huawei Inverter A1 - 081, Power, Huawei Inverter A1 - 082, Power, Huawei Inverter A1 - 083, Power, Huawei Inverter A1 - 084, Power, Huawei Inverter A1 - 091, Power, Huawei Inverter A1 - 092, Power, Huawei Inverter A1 - 093, Power, Huawei Inverter A1 - 094, Power, Huawei Inverter A2 - 011, Power, Huawei Inverter A2 - 012, Power, Huawei Inverter A2 - 013, Power, Huawei Inverter A2 - 014, Power, Huawei Inverter A2 - 021, Power, Huawei Inverter A2 - 022, Power, Huawei Inverter A2 - 023, Power, Huawei Inverter A2 - 024, Power, Huawei Inverter A2 - 031, Power, Huawei Inverter A2 - 032, Power, Huawei Inverter A2 - 033, Power, Huawei Inverter A2 - 034, Power, Huawei Inverter A2 - 041, Power, Huawei Inverter A2 - 042, Power, Huawei Inverter A2 - 043, Power, Huawei Inverter A2 - 044, Power, Huawei Inverter A2 - 051, Power, Huawei Inverter A2 - 052, Power, Huawei Inverter A2 - 053, Power, Huawei Inverter A2 - 054, Power, Huawei Inverter A2 - 061, Power, Huawei Inverter A2 - 062, Power, Huawei Inverter A2 - 063, Power, Huawei Inverter A2 - 064, Power, Huawei Inverter A2 - 071, Power, Huawei Inverter A2 - 072, Power, Huawei Inverter A2 - 073, Power, Huawei Inverter A2 - 074, Power, Huawei Inverter A2 - 081, Power, Huawei Inverter A2 - 082, Power, Huawei Inverter A2 - 083, Power, Huawei Inverter A2 - 084, Power, Huawei Inverter B1 - 011, Power, Huawei Inverter B1 - 012, Power, Huawei Inverter B1 - 013, Power, Huawei Inverter B1 - 021, Power, Huawei Inverter B1 - 022, Power, Huawei Inverter B1 - 023, Power, Huawei Inverter B1 - 024, Power, Huawei Inverter B1 - 031, Power, Huawei Inverter B1 - 032, Power, Huawei Inverter B1 - 033, Power, Huawei Inverter B1 - 034, Power, Huawei Inverter B1 - 041, Power, Huawei Inverter B1 - 042, Power, Huawei Inverter B1 - 043, Power, Huawei Inverter B1 - 044, Power, Huawei Inverter B1 - 051, Power, Huawei Inverter B1 - 052, Power, Huawei Inverter B1 - 053, Power, Huawei Inverter B1 - 054, Power, Huawei Inverter B1 - 061, Power, Huawei Inverter B1 - 062, Power, Huawei Inverter B1 - 063, Power, Huawei Inverter B1 - 064, Power, Huawei Inverter B1 - 071, Power, Huawei Inverter B1 - 072, Power, Huawei Inverter B1 - 073, Power, Huawei Inverter B1 - 074, Power, Huawei Inverter B1 - 081, Power, Huawei Inverter B1 - 082, Power, Huawei Inverter B1 - 083, Power, Huawei Inverter B1 - 084, Power, Huawei Inverter B2 - 011, Power, Huawei Inverter B2 - 012, Power, Huawei Inverter B2 - 013, Power, Huawei Inverter B2 - 014, Power, Huawei Inverter B2 - 021, Power, Huawei Inverter B2 - 022, Power, Huawei Inverter B2 - 023, Power, Huawei Inverter B2 - 024, Power, Huawei Inverter B2 - 031, Power, Huawei Inverter B2 - 032, Power, Huawei Inverter B2 - 033, Power, Huawei Inverter B2 - 041, Power, Huawei Inverter B2 - 042, Power, Huawei Inverter B2 - 043, Power, Huawei Inverter B2 - 051, Power, Huawei Inverter B2 - 052, Power, Huawei Inverter B2 - 053, Power, Huawei Inverter B2 - 054, Power, Huawei Inverter B2 - 061, Power, Huawei Inverter B2 - 062, Power, Huawei Inverter B2 - 063, Power, Huawei Inverter B2 - 064, Power, Huawei Inverter B2 - 071, Power, Huawei Inverter B2 - 072, Power, Huawei Inverter B2 - 073, Power, Huawei Inverter B2 - 074, Power, Huawei Inverter B2 - 081, Power, Huawei Inverter B2 - 082, Power, Huawei Inverter B2 - 083, Power, Huawei Inverter B2 - 084, Power, Huawei Inverter C1 - 011, Power, Huawei Inverter C1 - 012, Power, Huawei Inverter C1 - 013, Power, Huawei Inverter C1 - 014, Power, Huawei Inverter C1 - 021, Power, Huawei Inverter C1 - 022, Power, Huawei Inverter C1 - 023, Power, Huawei Inverter C1 - 024, Power, Huawei Inverter C1 - 031, Power, Huawei Inverter C1 - 032, Power, Huawei Inverter C1 - 033, Power, Huawei Inverter C1 - 034, Power, Huawei Inverter C1 - 041, Power, Huawei Inverter C1 - 042, Power, Huawei Inverter C1 - 043, Power, Huawei Inverter C1 - 044, Power, Huawei Inverter C1 - 051, Power, Huawei Inverter C1 - 052, Power, Huawei Inverter C1 - 053, Power, Huawei Inverter C1 - 054, Power, Huawei Inverter C1 - 061, Power, Huawei Inverter C1 - 062, Power, Huawei Inverter C1 - 063, Power, Huawei Inverter C1 - 064, Power, Huawei Inverter C1 - 071, Power, Huawei Inverter C1 - 072, Power, Huawei Inverter C1 - 073, Power, Huawei Inverter C1 - 074, Power, Huawei Inverter C1 - 081, Power, Huawei Inverter C1 - 082, Power, Huawei Inverter C1 - 083, Power, Huawei Inverter C1 - 084, Power, Huawei Inverter C2 - 011, Power, Huawei Inverter C2 - 012, Power, Huawei Inverter C2 - 013, Power, Huawei Inverter C2 - 014, Power, Huawei Inverter C2 - 021, Power, Huawei Inverter C2 - 022, Power, Huawei Inverter C2 - 023, Power, Huawei Inverter C2 - 024, Power, Huawei Inverter C2 - 031, Power, Huawei Inverter C2 - 032, Power, Huawei Inverter C2 - 033, Power, Huawei Inverter C2 - 034, Power, Huawei Inverter C2 - 041, Power, Huawei Inverter C2 - 042, Power, Huawei Inverter C2 - 043, Power, Huawei Inverter C2 - 044, Power, Huawei Inverter C2 - 051, Power, Huawei Inverter C2 - 052, Power, Huawei Inverter C2 - 053, Power, Huawei Inverter C2 - 054, Power, Huawei Inverter C2 - 061, Power, Huawei Inverter C2 - 062, Power, Huawei Inverter C2 - 063, Power, Huawei Inverter C2 - 064, Power, Huawei Inverter C2 - 071, Power, Huawei Inverter C2 - 072, Power, Huawei Inverter C2 - 073, Power, Huawei Inverter C2 - 074, Power, Huawei Inverter C2 - 081, Power, Huawei Inverter C2 - 082, Power, Huawei Inverter C2 - 083, Power, Huawei Inverter C2 - 084, Power"
Sesqui-C,,,,0,"Sesqui-C - Inverter 4 - AC power [W] - P_AC, Sesqui-C - Inverter 8 - AC power [W] - P_AC, Sesqui-C - Inverter 7 - AC power [W] - P_AC, Sesqui-C - Inverter 1 - AC power [W] - P_AC, Sesqui-C - Inverter 2 - AC power [W] - P_AC, Sesqui-C - Inverter 14 - AC power [W] - P_AC, Sesqui-C - Inverter 3 - AC power [W] - P_AC, Sesqui-C - Inverter 5 - AC power [W] - P_AC, Sesqui-C - Inverter 10 - AC power [W] - P_AC, Sesqui-C - Inverter 6 - AC power [W] - P_AC, Sesqui-C - Inverter 11 - AC power [W] - P_AC, Sesqui-C - Inverter 9 - AC power [W] - P_AC, Sesqui-C - Inverter 12 - AC power [W] - P_AC, Sesqui-C - Inverter 13 - AC power [W] - P_AC"
Sheep,,,,0,"Inverter 1, AC Active Power (Total)"
Siler 421,,,,0,"SMA SC-800CP-US - A1, Pac, SMA SC-800CP-US - A2, Pac, SMA SC-800CP-US - B1, Pac, SMA SC-800CP-US - B2, Pac, SMA SC-800CP-US - C1, Pac, SMA SC-800CP-US - C2, Pac"
Silverton,,,,0,"Inverter 1, AC Active Power (Total)"
Soluga IV,,,,0,"Schneider XC 680kW Inverter - 1, Active Power, Schneider XC 680kW Inverter - 2, Active Power, Schneider XC 680kW Inverter - 3, Active Power, Schneider XC 680kW Inverter - 4, Active Power, Schneider XC 680kW Inverter - 5, Active Power"
Sonne Two,,,,0,"SMA SC-1850-US - 1, AC Real Power, SMA SC-1850-US - 2, AC Real Power, SMA SC-1850-US - 3, AC Real Power"
Sonne Two,x,x,x,159,"SMA SC-1850-US - 1, AC Real Power, SMA SC-1850-US - 2, AC Real Power, SMA SC-1850-US - 3, AC Real Power"
Sophie,,,,0,"NC1 - Sophie Solar - Eaton Inverter #01 - Measured AC Power, avg, (kW), NC1 - Sophie Solar - Eaton Inverter #02 - Measured AC Power, avg, (kW), NC1 - Sophie Solar - Eaton Inverter #03 - Measured AC Power, avg, (kW)"
South Robeson,,x,x,1,"SMA Inverter - A.1, Pac, SMA Inverter - A.2, Pac, SMA Inverter - B.1, Pac, SMA Inverter - B.2, Pac, SMA Inverter - C.1, Pac, SMA Inverter - C.2, Pac, SMA Inverter - D.1, Pac, SMA Inverter - D.2, Pac, SMA Inverter - E.1, Pac, SMA Inverter - E.2, Pac"
Star,x,x,,0,"NC1 - Star Solar - Eaton Inverter #02 - Measured AC Power, avg, (kW), NC1 - Star Solar - Eaton Inverter #01 - Measured AC Power, avg, (kW), NC1 - Star Solar - Eaton Inverter #03 - Measured AC Power, avg, (kW)"
Starvation Solar I,x,x,x,0,"SunGrow SG2500HV Inverter - 05, Total AC Power, SunGrow SG2500HV Inverter - 06, Total AC Power, SunGrow SG2500HV Inverter - 07, Total AC Power, SunGrow SG2500HV Inverter - 08, Total AC Power"
Strider,,,x,1,"Schneider XC733-NA 733kW Inverter - 2A, Line kW, Schneider XC733-NA 733kW Inverter - 2B, Line kW, Schneider XC733-NA 733kW Inverter - 3B, Line kW"
Test,,,,0,"Inverter - 1 CPS SCH125KTL, Active Power, Inverter - 2 CPS SCH125KTL, Active Power, Inverter - 3 CPS SCH125KTL, Active Power, Inverter - 4 CPS SCH125KTL, Active Power, Inverter - 5 CPS SCH125KTL, Active Power, Inverter - 6 CPS SCH125KTL, Active Power, Inverter - 7 CPS SCH125KTL, Active Power, Inverter - 8 CPS SCH125KTL, Active Power, Inverter - 9 CPS SCH125KTL, Active Power, Inverter - 10 CPS SCH125KTL, Active Power, Inverter - 11 CPS SCH125KTL, Active Power, Inverter - 12 CPS SCH125KTL, Active Power, Inverter - 13 CPS SCH125KTL, Active Power, Inverter - 14 CPS SCH125KTL, Active Power, Inverter - 15 CPS SCH125KTL, Active Power, Inverter - 16 CPS SCH125KTL, Active Power, Inverter - 17 CPS SCH100KTL, Active Power, Inverter - 18 CPS SCH100KTL, Active Power"
Tiburon,,,x,1,"Huawei Inverter A2 - 022, Power"
Tumbleweed,,,x,1,"Sungrow 60kw Inverter - 1.1, Line kW, Sungrow 60kw Inverter - 1.2, Line kW, Sungrow 60kw Inverter - 1.3, Line kW, Sungrow 60kw Inverter - 1.4, Line kW, Sungrow 60kw Inverter - 1.5, Line kW, Sungrow 60kw Inverter - 1.6, Line kW, Sungrow 60kw Inverter - 1.7, Line kW, Sungrow 60kw Inverter - 1.8, Line kW, Sungrow 60kw Inverter - 1.9, Line kW, Sungrow 60kw Inverter - 1.10, Line kW, Sungrow 60kw Inverter - 1.11, Line kW, Sungrow 60kw Inverter - 1.12, Line kW, Sungrow 60kw Inverter - 1.13, Line kW, Sungrow 60kw Inverter - 1.14, Line kW, Sungrow 60kw Inverter - 1.15, Line kW, Sungrow 60kw Inverter - 2.1, Line kW, Sungrow 60kw Inverter - 2.2, Line kW, Sungrow 60kw Inverter - 2.3, Line kW, Sungrow 60kw Inverter - 2.4, Line kW, Sungrow 60kw Inverter - 2.5, Line kW, Sungrow 60kw Inverter - 2.6, Line kW, Sungrow 60kw Inverter - 2.7, Line kW, Sungrow 60kw Inverter - 2.8, Line kW, Sungrow 60kw Inverter - 2.9, Line kW, Sungrow 60kw Inverter - 2.10, Line kW, Sungrow 60kw Inverter - 2.11, Line kW, Sungrow 60kw Inverter - 2.12, Line kW, Sungrow 60kw Inverter - 2.13, Line kW, Sungrow 60kw Inverter - 2.14, Line kW, Sungrow 60kw Inverter - 2.15, Line kW, Sungrow 60kw Inverter - 3.1, Line kW, Sungrow 60kw Inverter - 3.2, Line kW, Sungrow 60kw Inverter - 3.3, Line kW, Sungrow 60kw Inverter - 3.4, Line kW, Sungrow 60kw Inverter - 3.5, Line kW, Sungrow 60kw Inverter - 3.6, Line kW, Sungrow 60kw Inverter - 3.7, Line kW, Sungrow 60kw Inverter - 3.8, Line kW, Sungrow 60kw Inverter - 3.9, Line kW, Sungrow 60kw Inverter - 3.10, Line kW, Sungrow 60kw Inverter - 3.11, Line kW, Sungrow 60kw Inverter - 3.12, Line kW, Sungrow 60kw Inverter - 3.13, Line kW, Sungrow 60kw Inverter - 3.14, Line kW, Sungrow 60kw Inverter - 3.15, Line kW, Sungrow 60kw Inverter - 4.1, Line kW, Sungrow 60kw Inverter - 4.2, Line kW, Sungrow 60kw Inverter - 4.3, Line kW, Sungrow 60kw Inverter - 4.4, Line kW, Sungrow 60kw Inverter - 4.5, Line kW, Sungrow 60kw Inverter - 4.6, Line kW, Sungrow 60kw Inverter - 4.7, Line kW, Sungrow 60kw Inverter - 4.8, Line kW, Sungrow 60kw Inverter - 4.9, Line kW, Sungrow 60kw Inverter - 4.10, Line kW, Sungrow 60kw Inverter - 4.11, Line kW, Sungrow 60kw Inverter - 4.12, Line kW, Sungrow 60kw Inverter - 4.13, Line kW, Sungrow 60kw Inverter - 4.14, Line kW, Sungrow 60kw Inverter - 4.15, Line kW, Sungrow 60kw Inverter - 5.1, Line kW, Sungrow 60kw Inverter - 5.2, Line kW, Sungrow 60kw Inverter - 5.3, Line kW, Sungrow 60kw Inverter - 5.4, Line kW, Sungrow 60kw Inverter - 5.5, Line kW, Sungrow 60kw Inverter - 5.6, Line kW, Sungrow 60kw Inverter - 5.7, Line kW, Sungrow 60kw Inverter - 5.8, Line kW, Sungrow 60kw Inverter - 5.9, Line kW, Sungrow 60kw Inverter - 5.10, Line kW, Sungrow 60kw Inverter - 5.11, Line kW, Sungrow 60kw Inverter - 5.12, Line kW, Sungrow 60kw Inverter - 5.13, Line kW, Sungrow 60kw Inverter - 5.14, Line kW, Sungrow 60kw Inverter - 5.15, Line kW, Sungrow 60kw Inverter - 6.1, Line kW, Sungrow 60kw Inverter - 6.2, Line kW, Sungrow 60kw Inverter - 6.3, Line kW, Sungrow 60kw Inverter - 6.4, Line kW, Sungrow 60kw Inverter - 6.5, Line kW, Sungrow 60kw Inverter - 6.6, Line kW, Sungrow 60kw Inverter - 6.7, Line kW, Sungrow 60kw Inverter - 6.8, Line kW, Sungrow 60kw Inverter - 6.9, Line kW, Sungrow 60kw Inverter - 6.10, Line kW, Sungrow 60kw Inverter - 6.11, Line kW, Sungrow 60kw Inverter - 6.12, Line kW, Sungrow 60kw Inverter - 6.13, Line kW, Sungrow 60kw Inverter - 6.14, Line kW, Sungrow 60kw Inverter - 6.15, Line kW, Sungrow 60kw Inverter - 7.1, Line kW, Sungrow 60kw Inverter - 7.2, Line kW, Sungrow 60kw Inverter - 7.3, Line kW, Sungrow 60kw Inverter - 7.4, Line kW, Sungrow 60kw Inverter - 7.5, Line kW, Sungrow 60kw Inverter - 7.6, Line kW, Sungrow 60kw Inverter - 7.7, Line kW, Sungrow 60kw Inverter - 7.8, Line kW, Sungrow 60kw Inverter - 7.9, Line kW, Sungrow 60kw Inverter - 7.10, Line kW, Sungrow 60kw Inverter - 7.11, Line kW, Sungrow 60kw Inverter - 7.12, Line kW, Sungrow 60kw Inverter - 7.13, Line kW, Sungrow 60kw Inverter - 7.14, Line kW, Sungrow 60kw Inverter - 7.15, Line kW, Sungrow 60kw Inverter - 8.1, Line kW, Sungrow 60kw Inverter - 8.2, Line kW, Sungrow 60kw Inverter - 8.3, Line kW, Sungrow 60kw Inverter - 8.4, Line kW, Sungrow 60kw Inverter - 8.5, Line kW, Sungrow 60kw Inverter - 8.6, Line kW, Sungrow 60kw Inverter - 8.7, Line kW, Sungrow 60kw Inverter - 8.8, Line kW, Sungrow 60kw Inverter - 8.9, Line kW, Sungrow 60kw Inverter - 8.10, Line kW, Sungrow 60kw Inverter - 8.11, Line kW, Sungrow 60kw Inverter - 8.12, Line kW, Sungrow 60kw Inverter - 8.13, Line kW, Sungrow 60kw Inverter - 8.14, Line kW, Sungrow 60kw Inverter - 8.15, Line kW, Sungrow 60kw Inverter - 9.1, Line kW, Sungrow 60kw Inverter - 9.2, Line kW, Sungrow 60kw Inverter - 9.3, Line kW, Sungrow 60kw Inverter - 9.4, Line kW, Sungrow 60kw Inverter - 9.5, Line kW, Sungrow 60kw Inverter - 9.6, Line kW, Sungrow 60kw Inverter - 9.7, Line kW, Sungrow 60kw Inverter - 9.8, Line kW, Sungrow 60kw Inverter - 9.9, Line kW, Sungrow 60kw Inverter - 9.10, Line kW, Sungrow 60kw Inverter - 9.11, Line kW, Sungrow 60kw Inverter - 9.12, Line kW, Sungrow 60kw Inverter - 9.13, Line kW, Sungrow 60kw Inverter - 9.14, Line kW, Sungrow 60kw Inverter - 9.15, Line kW, Sungrow 60kw Inverter - 10.1, Line kW, Sungrow 60kw Inverter - 10.2, Line kW, Sungrow 60kw Inverter - 10.3, Line kW, Sungrow 60kw Inverter - 10.4, Line kW, Sungrow 60kw Inverter - 10.5, Line kW, Sungrow 60kw Inverter - 10.6, Line kW, Sungrow 60kw Inverter - 10.7, Line kW, Sungrow 60kw Inverter - 10.8, Line kW, Sungrow 60kw Inverter - 10.9, Line kW, Sungrow 60kw Inverter - 10.10, Line kW, Sungrow 60kw Inverter - 10.11, Line kW, Sungrow 60kw Inverter - 10.12, Line kW, Sungrow 60kw Inverter - 10.13, Line kW, Sungrow 60kw Inverter - 10.14, Line kW, Sungrow 60kw Inverter - 10.15, Line kW, Sungrow 60kw Inverter - 11.1, Line kW, Sungrow 60kw Inverter - 11.2, Line kW, Sungrow 60kw Inverter - 11.3, Line kW, Sungrow 60kw Inverter - 11.4, Line kW, Sungrow 60kw Inverter - 11.5, Line kW, Sungrow 60kw Inverter - 11.6, Line kW, Sungrow 60kw Inverter - 11.7, Line kW, Sungrow 60kw Inverter - 11.8, Line kW, Sungrow 60kw Inverter - 11.9, Line kW, Sungrow 60kw Inverter - 11.10, Line kW, Sungrow 60kw Inverter - 11.11, Line kW, Sungrow 60kw Inverter - 11.12, Line kW, Sungrow 60kw Inverter - 11.13, Line kW, Sungrow 60kw Inverter - 11.14, Line kW, Sungrow 60kw Inverter - 11.15, Line kW"
Turkey Hill,,,,0,"TMEIC 2.7MW Inverter 1.1.1, Active Power P, TMEIC 2.7MW Inverter 1.2.1, Active Power P, TMEIC 2.7MW Inverter 1.3.1, Active Power P, TMEIC 2.7MW Inverter 1.4.1, Active Power P"
Valley Creek,,,,0,"Inverter 1, AC Active Power (Total)"
Weaver,,,,0,"Sungrow SG 125HV Inverter - 1, Line kW, Sungrow SG 125HV Inverter - 2, Line kW, Sungrow SG 125HV Inverter - 3, Line kW, Sungrow SG 125HV Inverter - 4, Line kW, Sungrow SG 125HV Inverter - 5, Line kW, Sungrow SG 125HV Inverter - 6, Line kW, Sungrow SG 125HV Inverter - 7, Line kW, Sungrow SG 125HV Inverter - 8, Line kW, Sungrow SG 125HV Inverter - 9, Line kW, Sungrow SG 125HV Inverter - 10, Line kW, Sungrow SG 125HV Inverter - 11, Line kW, Sungrow SG 125HV Inverter - 12, Line kW, Sungrow SG 125HV Inverter - 13, Line kW, Sungrow SG 125HV Inverter - 14, Line kW, Sungrow SG 125HV Inverter - 15, Line kW, Sungrow SG 125HV Inverter - 16, Line kW"
Woodline,,x,,0,"INVERTER 1, AC Active Power (Total), INVERTER 2, AC Active Power (Total), INVERTER 3, AC Active Power (Total), INVERTER 4, AC Active Power (Total)"
Woodsdale,x,x,,0,"Schneider CL60 I - 1A1, Active Power, Schneider CL60 I - 1A2, Active Power, Schneider CL60 I - 1A3, Active Power, Schneider CL60 I - 1A4, Active Power, Schneider CL60 I - 1A5, Active Power, Schneider CL60 I - 1B1, Active Power, Schneider CL60 I - 1B2, Active Power, Schneider CL60 I - 1B3, Active Power, Schneider CL60 I - 1B4, Active Power, Schneider CL60 I - 1B5, Active Power, Schneider CL60 I - 1C1, Total Active Power, Schneider CL60 I - 1C2, Total Active Power, Schneider CL60 I - 1C3, Total Active Power, Schneider CL60 I - 1C4, Total Active Power, Schneider CL60 I - 1D1, Total Active Power, Schneider CL60 I - 1D2, Total Active Power, Schneider CL60 I - 1D3, Total Active Power, Schneider CL60 I - 1D4, Total Active Power, Schneider CL60 I - 2A1, Total Active Power, Schneider CL60 I - 2A2, Total Active Power, Schneider CL60 I - 2A3, Total Active Power, Schneider CL60 I - 2A4, Total Active Power, Schneider CL60 I - 2A5, Total Active Power, Schneider CL60 I - 2B1, Total Active Power, Schneider CL60 I - 2B2, Total Active Power, Schneider CL60 I - 2B3, Total Active Power, Schneider CL60 I - 2B4, Total Active Power, Schneider CL60 I - 2C1, Total Active Power, Schneider CL60 I - 2C2, Total Active Power, Schneider CL60 I - 2C3, Total Active Power, Schneider CL60 I - 2C4, Total Active Power, Schneider CL60 I - 2D1, Total Active Power, Schneider CL60 I - 2D2, Total Active Power, Schneider CL60 I - 2D3, Total Active Power, Schneider CL60 I - 2D4, Total Active Power"
