Site Name,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2024-01
NC Solar II,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.82884186300605,99.93667157194395,100.0
Nitro,95.65344628716184,97.60646686695132,99.73510678526749,97.92983594559655,98.97391192219303,100.0,100.0,94.89509897985081,100.0,100.0,100.0,98.08769148898416,94.8093986121173,98.89909459603236
Princeton,100.0,100.0,99.76778489844992,74.2694389675599,100.0,99.08574964709655,99.82451664552691,94.42423241892162,90.71181815132029,94.44608226764112,100.0,100.0,99.17257680515574,100.0
Red Oak Solar Farm,69.68904624915959,67.63855165374169,77.86807627545413,86.7429323862038,86.02313021182347,85.67950543507047,85.59696942025401,83.23107318549243,97.98481624070408,99.68786894691867,97.4623043216139,100.0,100.0,98.72821183577938
S. Robeson Solar,88.0299111214075,81.0353109354739,93.28083361007198,99.21947781101989,99.93341091614279,99.81644255190119,98.57614851827564,97.35413931937263,100.0,98.87030019877935,95.29536919540432,95.14404540555279,100.0,99.54175197380717
Sarah,100.0,100.0,99.43130593417686,98.17560658616507,100.0,98.25708061002177,99.7378030270595,98.8277016322037,99.84439244293236,100.0,94.09907214765849,100.0,99.08051121879662,99.88350342609777
Schell Solar Farm,78.63333755776029,100.0,100.0,100.0,100.0,100.0,97.98387973862745,100.0,90.98197479015597,100.0,99.4892730102317,100.0,100.0,100.0
Sedberry,99.51456483496442,99.35567811707625,99.50890841062262,99.52603857445511,99.54658778042918,98.89799691822931,79.96261181590577,81.94660426006335,84.98849312672478,87.09818028434762,68.30712734656449,89.35218272027379,85.4194239402885,99.99266125293805
Siler 421 Farm,100.0,98.22683829339671,96.4514763008545,97.3453197770045,99.89698268381163,100.0,99.72082720210086,99.4095179562511,99.50028928183454,100.0,91.02504480354638,84.38383827645345,85.57113186152382,86.94611366863298
"Sonne Two, LLC",50.52083333333332,100.0,99.78657659100611,100.0,99.69952250439809,99.79919678714857,97.79834665278455,99.91918090391373,84.61451771029428,47.94724410600749,70.75137707398906,100.0,100.0,100.0
Tiburon,99.96761495147435,99.93563852003561,99.98164045691333,100.0,99.79259014766241,99.82570401402916,99.5817219706897,99.99547387991797,99.72180369179205,99.96007801449808,99.94426272974393,99.3645525199833,98.79982911451252,99.54616430856267
Tumbleweed Solar Farm,100.0,100.0,100.0,84.70048286586523,60.59728416959874,59.11676465350841,63.67632220901925,65.30749904513806,67.80235979445754,68.55449657147332,70.09426628278975,71.91348581857127,71.38525006946222,77.02794642429119
Turkey Hill Solar,99.73777412901666,89.56796164606217,100.0,100.0,99.915792068531,100.0,99.8640506641333,79.23574318578065,91.62928350206019,100.0,100.0,100.0,100.0,99.80565566866646
